timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644180878684025098,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
1, 1644180878688557671,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
2, 1644180878693949634,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
3, 1644180878697335443,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
4, 1644180878700583327,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
5, 1644180878703804109,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
6, 1644180878707002023,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
7, 1644180878710508040,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
8, 1644180878715799809,37, Tile 16 Block 8, 46358, 350000,1695,9501,1695
9, 1644180878720021368,38, Tile 16 Block 8, 46358, 350000,1695,9501,1695
10, 1644180878723236062,38, Tile 16 Block 8, 46358, 350000,1695,9501,1695
11, 1644180878726451501,38, Tile 16 Block 8, 46358, 350000,1695,9501,1695
12, 1644180878783918130,39, Tile 16 Block 8, 54067, 350000,1695,9501,1695
13, 1644180878786818149,39, Tile 16 Block 8, 54067, 350000,1695,9501,1695
14, 1644180878789513005,39, Tile 16 Block 8, 54067, 350000,1695,9501,1695
15, 1644180878795131441,39, Tile 16 Block 8, 54067, 350000,1695,9501,1695
16, 1644180878800013056,39, Tile 16 Block 8, 54067, 350000,1695,9501,1695
17, 1644180878804756057,39, Tile 16 Block 8, 54067, 350000,1695,9501,1695
18, 1644180878808112713,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
19, 1644180878810847542,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
20, 1644180878813620524,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
21, 1644180878816317859,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
22, 1644180878820842849,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
23, 1644180878825412592,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
24, 1644180878828610821,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
25, 1644180878831303629,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
26, 1644180878834010184,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
27, 1644180878836845722,38, Tile 16 Block 8, 54067, 350000,1695,9501,1695
28, 1644180878840699299,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
29, 1644180878845641929,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
30, 1644180878849676654,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
31, 1644180878852368757,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
32, 1644180878855053895,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
33, 1644180878857780929,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
34, 1644180878861168307,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
35, 1644180878865805040,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
36, 1644180878869838340,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
37, 1644180878872610225,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
38, 1644180878875300161,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
39, 1644180878878001973,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
40, 1644180878880700767,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
41, 1644180878885100260,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
42, 1644180878890095072,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
43, 1644180878892935481,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
44, 1644180878895642613,38, Tile 16 Block 8, 61518, 350000,1695,9501,1695
45, 1644180878898916038,37, Tile 16 Block 8, 61518, 350000,1695,9501,1695
46, 1644180878903469344,37, Tile 16 Block 8, 61518, 350000,1695,9501,1695
47, 1644180878908013482,37, Tile 16 Block 8, 61518, 350000,1695,9501,1695
48, 1644180878912629524,37, Tile 16 Block 8, 61518, 350000,1695,9501,1695
49, 1644180878915327752,37, Tile 16 Block 8, 61518, 350000,1695,9501,1695
50, 1644180878918004798,37, Tile 16 Block 8, 61518, 350000,1695,9501,1695
