timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650146195102310961,56,t256_b196_vectorAdd_compute,111635,350000,1395,9751,1395
1,1650146195111224924,56,t256_b196_vectorAdd_compute,111635,350000,1395,9751,1395
2,1650146195119153348,56,t256_b196_vectorAdd_compute,111635,350000,1395,9751,1395
3,1650146195126971746,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
4,1650146195136656718,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
5,1650146195144552474,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
6,1650146195152367105,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
7,1650146195160254175,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
8,1650146195168069874,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
9,1650146195176983680,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
10,1650146195184972577,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
11,1650146195192807916,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
12,1650146195202586700,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
13,1650146195210430482,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
14,1650146195218442328,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
15,1650146195226211268,56,t256_b196_vectorAdd_compute,111835,350000,1395,9751,1395
16,1650146195234036357,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
17,1650146195243711761,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
18,1650146195251586055,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
19,1650146195259330331,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
20,1650146195267189724,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
21,1650146195275012139,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
22,1650146195282789998,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
23,1650146195290726885,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
24,1650146195298461716,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
25,1650146195308069751,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
26,1650146195316124993,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
27,1650146195324066237,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
28,1650146195332142635,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
29,1650146195340096263,56,t256_b196_vectorAdd_compute,111944,350000,1395,9751,1395
30,1650146195348982717,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
31,1650146195357055675,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
32,1650146195364974015,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
33,1650146195375068346,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
34,1650146195383111142,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
35,1650146195391070120,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
36,1650146195399266499,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
37,1650146195407237085,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
38,1650146195417055593,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
39,1650146195425089342,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
40,1650146195433054783,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
41,1650146195441148181,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
42,1650146195449117065,56,t256_b196_vectorAdd_compute,112013,350000,1395,9751,1395
43,1650146195458179944,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
44,1650146195466318666,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
45,1650146195474299894,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
46,1650146195484388618,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
47,1650146195492373904,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
48,1650146195501151396,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
49,1650146195509295275,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
50,1650146195517283103,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
51,1650146195527091021,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
52,1650146195535106186,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
53,1650146195543538028,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
54,1650146195551671193,56,t256_b196_vectorAdd_compute,112077,350000,1395,9751,1395
55,1650146195559608557,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
56,1650146195569511370,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
57,1650146195577556657,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
58,1650146195585521198,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
59,1650146195593546024,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
60,1650146195601501128,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
61,1650146195611056128,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
62,1650146195619162395,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
63,1650146195627278910,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
64,1650146195635411012,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
65,1650146195643410660,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
66,1650146195651919350,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
67,1650146195660079960,56,t256_b196_vectorAdd_compute,112154,350000,1395,9751,1395
68,1650146195668058368,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
69,1650146195677837071,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
70,1650146195685881182,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
71,1650146195693814429,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
72,1650146195701863189,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
73,1650146195709825560,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
74,1650146195719483505,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
75,1650146195727710168,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
76,1650146195735672043,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
77,1650146195743753781,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
78,1650146195751724856,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
79,1650146195760140097,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
80,1650146195768333209,56,t256_b196_vectorAdd_compute,112233,350000,1395,9751,1395
81,1650146195776294244,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
82,1650146195786171070,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
83,1650146195794224340,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
84,1650146195802179874,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
85,1650146195810244105,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
86,1650146195818241426,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
87,1650146195827969486,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
88,1650146195836302715,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
89,1650146195844285081,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
90,1650146195852396525,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
91,1650146195860367344,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
92,1650146195869381808,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
93,1650146195877484549,56,t256_b196_vectorAdd_compute,112312,350000,1395,9751,1395
94,1650146195885743120,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
95,1650146195894962818,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
96,1650146195902927582,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
97,1650146195911121286,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
98,1650146195919288708,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
99,1650146195927238979,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
100,1650146195937036503,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
101,1650146195945203659,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
102,1650146195953170401,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
103,1650146195961512870,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
104,1650146195969457055,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
105,1650146195979308849,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
106,1650146195987375423,56,t256_b196_vectorAdd_compute,112405,350000,1395,9751,1395
107,1650146195995619768,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
108,1650146196004190216,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
109,1650146196012171984,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
110,1650146196021662555,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
111,1650146196029722442,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
112,1650146196037653888,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
113,1650146196046051493,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
114,1650146196054210902,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
115,1650146196062309910,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
116,1650146196070587411,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
117,1650146196078534999,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
118,1650146196088478526,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
119,1650146196096538857,56,t256_b196_vectorAdd_compute,112295,350000,1395,9751,1395
120,1650146196104832544,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
121,1650146196113165370,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
122,1650146196121152530,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
123,1650146196131476132,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
124,1650146196139526682,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
125,1650146196147482982,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
126,1650146196155738661,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
127,1650146196163680418,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
128,1650146196172898943,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
129,1650146196180962680,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
130,1650146196188944921,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
131,1650146196197786108,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
132,1650146196205749593,56,t256_b196_vectorAdd_compute,112169,350000,1395,9751,1395
133,1650146196214759165,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
134,1650146196222857921,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
135,1650146196230795859,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
136,1650146196241035419,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
137,1650146196249047545,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
138,1650146196257200158,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
139,1650146196265497540,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
140,1650146196273464615,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
141,1650146196283358838,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
142,1650146196291412938,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
143,1650146196299391298,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
144,1650146196307492453,56,t256_b196_vectorAdd_compute,112031,350000,1395,9751,1395
145,1650146196315445881,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
146,1650146196324833546,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
147,1650146196332883656,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
148,1650146196340818304,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
149,1650146196349644778,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
150,1650146196357593011,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
151,1650146196366008472,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
152,1650146196374048189,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
153,1650146196382036010,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
154,1650146196391892393,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
155,1650146196399906625,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
156,1650146196407838407,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
157,1650146196415890516,56,t256_b196_vectorAdd_compute,111994,350000,1395,9751,1395
158,1650146196423822157,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
159,1650146196433827493,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
160,1650146196441870952,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
161,1650146196449811836,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
162,1650146196457849019,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
163,1650146196465811883,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
164,1650146196474321630,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
165,1650146196482481809,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
166,1650146196490451444,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
167,1650146196500376504,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
168,1650146196508396631,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
169,1650146196516423076,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
170,1650146196524485397,56,t256_b196_vectorAdd_compute,111999,350000,1395,9751,1395
171,1650146196532459407,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
172,1650146196542445596,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
173,1650146196550503583,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
174,1650146196558469355,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
175,1650146196566538601,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
176,1650146196574491589,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
177,1650146196583588306,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
178,1650146196591747984,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
179,1650146196599686698,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
180,1650146196609041986,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
181,1650146196617006038,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
182,1650146196625374158,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
183,1650146196633440962,56,t256_b196_vectorAdd_compute,112016,350000,1395,9751,1395
184,1650146196641406326,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
185,1650146196651545291,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
186,1650146196659587724,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
187,1650146196667514011,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
188,1650146196675551443,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
189,1650146196683500979,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
190,1650146196693407715,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
191,1650146196701714224,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
192,1650146196709698082,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
193,1650146196717772629,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
194,1650146196725741404,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
195,1650146196734401968,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
196,1650146196742565404,56,t256_b196_vectorAdd_compute,112026,350000,1395,9751,1395
197,1650146196750677408,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
198,1650146196760724501,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
199,1650146196768728013,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
200,1650146196777151794,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
201,1650146196785313720,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
202,1650146196793291322,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
203,1650146196803203649,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
204,1650146196811354647,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
205,1650146196819450738,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
206,1650146196827703052,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
207,1650146196835642710,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
208,1650146196845563726,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
209,1650146196853706039,56,t256_b196_vectorAdd_compute,112047,350000,1395,9751,1395
210,1650146196862316423,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
211,1650146196870998397,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
212,1650146196878967812,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
213,1650146196889133357,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
214,1650146196897156467,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
215,1650146196905124679,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
216,1650146196913379530,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
217,1650146196921366178,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
218,1650146196930905933,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
219,1650146196938979461,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
220,1650146196946969580,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
221,1650146196955058097,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
222,1650146196963012117,56,t256_b196_vectorAdd_compute,112070,350000,1395,9751,1395
223,1650146196971882642,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
224,1650146196979952126,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
225,1650146196987918507,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
226,1650146196998157004,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
227,1650146197006216787,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
228,1650146197014636766,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
229,1650146197022697313,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
230,1650146197030631963,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
231,1650146197040606088,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
232,1650146197048608014,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
233,1650146197056539318,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
234,1650146197064641897,56,t256_b196_vectorAdd_compute,112072,350000,1395,9751,1395
235,1650146197072610573,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
236,1650146197082244267,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
237,1650146197090313335,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
238,1650146197098287716,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
239,1650146197106439612,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
240,1650146197114527066,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
241,1650146197122975760,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
242,1650146197131120286,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
243,1650146197139073484,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
244,1650146197149021101,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
245,1650146197157057725,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
246,1650146197165036306,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
247,1650146197173140151,56,t256_b196_vectorAdd_compute,112076,350000,1395,9751,1395
248,1650146197181127092,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
249,1650146197190905983,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
250,1650146197198949508,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
251,1650146197206920404,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
252,1650146197214973287,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
253,1650146197222957931,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
254,1650146197231462289,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
255,1650146197239538680,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
256,1650146197247500790,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
257,1650146197257371222,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
258,1650146197265964878,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
259,1650146197274097666,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
260,1650146197282257042,56,t256_b196_vectorAdd_compute,112086,350000,1395,9751,1395
261,1650146197290206870,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
262,1650146197300179121,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
263,1650146197308228884,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
264,1650146197316190906,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
265,1650146197324295626,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
266,1650146197332265285,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
267,1650146197341649960,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
268,1650146197349756821,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
269,1650146197357701086,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
270,1650146197365883681,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
271,1650146197373842967,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
272,1650146197381781781,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
273,1650146197389830623,56,t256_b196_vectorAdd_compute,112102,350000,1395,9751,1395
274,1650146197397794285,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
275,1650146197407794463,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
276,1650146197415819756,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
277,1650146197423771461,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
278,1650146197431814807,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
279,1650146197439793442,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
280,1650146197448389277,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
281,1650146197456471815,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
282,1650146197464471636,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
283,1650146197474340509,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
284,1650146197482384692,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
285,1650146197490494701,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
286,1650146197498611872,56,t256_b196_vectorAdd_compute,112124,350000,1395,9751,1395
287,1650146197506562733,56,t256_b196_vectorAdd_compute,112141,350000,1395,9751,1395
288,1650146197516570094,56,t256_b196_vectorAdd_compute,112141,350000,1395,9751,1395
