timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643919028171697008,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
1, 1643919028174850458,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
2, 1643919028177365233,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
3, 1643919028179862592,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
4, 1643919028182345402,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
5, 1643919028185195219,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
6, 1643919028189708306,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
7, 1643919028193974026,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
8, 1643919028196451989,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
9, 1643919028198912387,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
10, 1643919028201363421,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
11, 1643919028204034236,37, 8 blocks 1024 threads, 42509, 350000,1695,9501,1695
12, 1643919028207219384,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
13, 1643919028211788729,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
14, 1643919028218881021,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
15, 1643919028221351394,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
16, 1643919028223919105,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
17, 1643919028226376235,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
18, 1643919028230270038,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
19, 1643919028234578552,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
20, 1643919028237858241,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
21, 1643919028240315724,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
22, 1643919028242781806,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
23, 1643919028245239158,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
24, 1643919028247692927,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
25, 1643919028251343131,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
26, 1643919028286377021,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
27, 1643919028290478262,37, 8 blocks 1024 threads, 47116, 350000,1695,9501,1695
