timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650155793453253763,56,t1024_b16_wordcount_memory,111319,350000,1395,9751,1395
1,1650155793461349374,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
2,1650155793470317487,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
3,1650155793477781281,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
4,1650155793485181857,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
5,1650155793492692114,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
6,1650155793500069110,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
7,1650155793507487142,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
8,1650155793515163331,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
9,1650155793522570442,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
10,1650155793530748927,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
11,1650155793538532468,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
12,1650155793545918420,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
13,1650155793555442353,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
14,1650155793562913505,56,t1024_b16_wordcount_memory,111355,350000,1395,9751,1395
15,1650155793570506509,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
16,1650155793578052778,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
17,1650155793585440677,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
18,1650155793592860493,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
19,1650155793600393734,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
20,1650155793607846078,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
21,1650155793615237730,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
22,1650155793622909892,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
23,1650155793630323915,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
24,1650155793638185421,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
25,1650155793645888400,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
26,1650155793653277588,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
27,1650155793662510618,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
28,1650155793669986934,56,t1024_b16_wordcount_memory,111467,350000,1395,9751,1395
29,1650155793677559070,56,t1024_b16_wordcount_memory,111585,350000,1395,9751,1395
30,1650155793686870858,56,t1024_b16_wordcount_memory,111585,350000,1395,9751,1395
31,1650155793694321734,56,t1024_b16_wordcount_memory,111585,350000,1395,9751,1395
32,1650155793701743785,56,t1024_b16_wordcount_memory,111585,350000,1395,9751,1395
33,1650155793709233286,56,t1024_b16_wordcount_memory,111585,350000,1395,9751,1395
