timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650154713155435688,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
1,1650154713163463797,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
2,1650154713170907200,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
3,1650154713178304410,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
4,1650154713185881390,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
5,1650154713193313535,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
6,1650154713200682204,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
7,1650154713208218944,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
8,1650154713215568744,56,t512_b8_wordcount_memory,111166,350000,1395,9751,1395
9,1650154713223857672,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
10,1650154713231455819,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
11,1650154713238889393,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
12,1650154713248286824,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
13,1650154713255848950,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
14,1650154713263286477,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
15,1650154713271831790,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
16,1650154713279331928,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
17,1650154713286704617,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
18,1650154713294510481,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
19,1650154713301936130,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
20,1650154713309520986,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
21,1650154713317093412,56,t512_b8_wordcount_memory,111234,350000,1395,9751,1395
22,1650154713324471902,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
23,1650154713333354103,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
24,1650154713340916468,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
25,1650154713348331718,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
26,1650154713358138576,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
27,1650154713365660727,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
28,1650154713373074380,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
29,1650154713380788449,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
30,1650154713388205495,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
31,1650154713395625686,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
32,1650154713403174199,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
33,1650154713410559176,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
34,1650154713418469282,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
35,1650154713426113187,56,t512_b8_wordcount_memory,111318,350000,1395,9751,1395
36,1650154713433544886,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
37,1650154713442854193,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
38,1650154713450348287,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
39,1650154713457828045,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
40,1650154713467328586,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
41,1650154713474811129,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
42,1650154713482181019,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
43,1650154713489841936,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
44,1650154713497299474,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
45,1650154713505264264,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
46,1650154713512830000,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
47,1650154713520236907,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
48,1650154713529681550,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
49,1650154713537742110,56,t512_b8_wordcount_memory,111378,350000,1395,9751,1395
50,1650154713545427019,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
51,1650154713553173128,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
52,1650154713560736720,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
53,1650154713568304380,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
54,1650154713575981528,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
55,1650154713583530847,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
56,1650154713591822035,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
57,1650154713599510674,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
58,1650154713607112491,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
59,1650154713616659970,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
60,1650154713624286153,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
61,1650154713631855329,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
62,1650154713639717395,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
63,1650154713647255367,56,t512_b8_wordcount_memory,111458,350000,1395,9751,1395
64,1650154713655216302,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
65,1650154713662998336,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
66,1650154713670571555,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
67,1650154713678734744,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
68,1650154713686492710,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
69,1650154713694077223,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
70,1650154713703504653,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
71,1650154713711401756,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
72,1650154713718956082,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
73,1650154713726648274,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
74,1650154713734192252,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
75,1650154713742173297,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
76,1650154713749860079,56,t512_b8_wordcount_memory,111545,350000,1395,9751,1395
77,1650154713757433802,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
78,1650154713766207031,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
79,1650154713773974548,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
80,1650154713781534313,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
81,1650154713791321005,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
82,1650154713798954819,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
83,1650154713806525894,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
84,1650154713814294355,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
85,1650154713821873305,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
86,1650154713829971471,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
87,1650154713837741456,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
88,1650154713845303748,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
89,1650154713854680849,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
90,1650154713862326914,56,t512_b8_wordcount_memory,111636,350000,1395,9751,1395
