timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643673547566009688,39, linearSolverQR, 108480, 350000,1695,9501,1695
1, 1643673547569217630,39, linearSolverQR, 108480, 350000,1695,9501,1695
2, 1643673547571587826,39, linearSolverQR, 108480, 350000,1695,9501,1695
3, 1643673547573921317,39, linearSolverQR, 108480, 350000,1695,9501,1695
4, 1643673547576269225,39, linearSolverQR, 108480, 350000,1695,9501,1695
5, 1643673547578889229,39, linearSolverQR, 108480, 350000,1695,9501,1695
6, 1643673547583134152,39, linearSolverQR, 108480, 350000,1695,9501,1695
7, 1643673547587624165,39, linearSolverQR, 108480, 350000,1695,9501,1695
8, 1643673547590109449,39, linearSolverQR, 108480, 350000,1695,9501,1695
9, 1643673547592616819,39, linearSolverQR, 108480, 350000,1695,9501,1695
10, 1643673547594983948,39, linearSolverQR, 108480, 350000,1695,9501,1695
11, 1643673547597360809,39, linearSolverQR, 108480, 350000,1695,9501,1695
12, 1643673547599757996,39, linearSolverQR, 108480, 350000,1695,9501,1695
13, 1643673547604189124,39, linearSolverQR, 108480, 350000,1695,9501,1695
14, 1643673547608682561,39, linearSolverQR, 108480, 350000,1695,9501,1695
15, 1643673547611988686,39, linearSolverQR, 108480, 350000,1695,9501,1695
16, 1643673547614377940,39, linearSolverQR, 108480, 350000,1695,9501,1695
17, 1643673547616795769,39, linearSolverQR, 108480, 350000,1695,9501,1695
18, 1643673547619188429,39, linearSolverQR, 108480, 350000,1695,9501,1695
19, 1643673547621694104,39, linearSolverQR, 108480, 350000,1695,9501,1695
20, 1643673547626217210,39, linearSolverQR, 108480, 350000,1695,9501,1695
21, 1643673547630703292,39, linearSolverQR, 108480, 350000,1695,9501,1695
22, 1643673547633635186,39, linearSolverQR, 108480, 350000,1695,9501,1695
23, 1643673547636012722,39, linearSolverQR, 108480, 350000,1695,9501,1695
24, 1643673547638411478,39, linearSolverQR, 108480, 350000,1695,9501,1695
25, 1643673547640984460,39, linearSolverQR, 108480, 350000,1695,9501,1695
26, 1643673547644501097,39, linearSolverQR, 110709, 350000,1695,9501,1695
27, 1643673547649189209,39, linearSolverQR, 110709, 350000,1965,9501,1965
28, 1643673547659461443,39, linearSolverQR, 110709, 350000,1965,9501,1965
29, 1643673547661827198,39, linearSolverQR, 110709, 350000,1965,9501,1965
30, 1643673547664200021,39, linearSolverQR, 110709, 350000,1965,9501,1965
31, 1643673547668413536,39, linearSolverQR, 110709, 350000,1965,9501,1965
32, 1643673547672778291,39, linearSolverQR, 110709, 350000,1965,9501,1965
33, 1643673547676401502,39, linearSolverQR, 110709, 350000,1965,9501,1965
34, 1643673547678785165,39, linearSolverQR, 110709, 350000,1965,9501,1965
35, 1643673547681193684,39, linearSolverQR, 110709, 350000,1965,9501,1965
36, 1643673547683580844,39, linearSolverQR, 110709, 350000,1965,9501,1965
37, 1643673547685960454,40, linearSolverQR, 110709, 350000,1965,9501,1965
38, 1643673547690374705,40, linearSolverQR, 110709, 350000,1965,9501,1965
39, 1643673547695576103,40, linearSolverQR, 110709, 350000,1965,9501,1965
40, 1643673547697999665,40, linearSolverQR, 110709, 350000,1965,9501,1965
41, 1643673547700489172,40, linearSolverQR, 110709, 350000,1965,9501,1965
42, 1643673547702855853,40, linearSolverQR, 110709, 350000,1965,9501,1965
43, 1643673547708016916,40, linearSolverQR, 110709, 350000,1965,9501,1965
44, 1643673547712402956,40, linearSolverQR, 110709, 350000,1965,9501,1965
45, 1643673547716757804,41, linearSolverQR, 110709, 350000,1965,9501,1965
46, 1643673547719864292,41, linearSolverQR, 110709, 350000,1965,9501,1965
47, 1643673547722251287,41, linearSolverQR, 110709, 350000,1965,9501,1965
48, 1643673547724636484,41, linearSolverQR, 110709, 350000,1965,9501,1965
49, 1643673547727028523,41, linearSolverQR, 110709, 350000,1965,9501,1965
50, 1643673547729398613,41, linearSolverQR, 110709, 350000,1965,9501,1965
51, 1643673547733906680,41, linearSolverQR, 110709, 350000,1965,9501,1965
52, 1643673547738276399,41, linearSolverQR, 110709, 350000,1965,9501,1965
53, 1643673547741089072,41, linearSolverQR, 110709, 350000,1965,9501,1965
54, 1643673547743470838,41, linearSolverQR, 110709, 350000,1965,9501,1965
55, 1643673547745837431,41, linearSolverQR, 110709, 350000,1965,9501,1965
56, 1643673547748453394,41, linearSolverQR, 110709, 350000,1965,9501,1965
57, 1643673547751430460,41, linearSolverQR, 117585, 350000,1965,9501,1965
58, 1643673547755674431,41, linearSolverQR, 117585, 350000,1965,9501,1965
59, 1643673547760297413,41, linearSolverQR, 117585, 350000,1965,9501,1965
