timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644808441424581395,36, matrixMul_compute, 32310, 350000,1695,9501,1695
1, 1644808441428713366,36, matrixMul_compute, 32310, 350000,1695,9501,1695
2, 1644808441432214125,36, matrixMul_compute, 32310, 350000,1695,9501,1695
3, 1644808441435605267,36, matrixMul_compute, 32310, 350000,1695,9501,1695
4, 1644808441438993945,36, matrixMul_compute, 32310, 350000,1695,9501,1695
5, 1644808441442691437,36, matrixMul_compute, 38614, 350000,1695,9501,1695
6, 1644808441447564109,36, matrixMul_compute, 38614, 350000,1695,9501,1695
7, 1644808441458071484,36, matrixMul_compute, 38614, 350000,1695,9501,1695
8, 1644808441461494465,36, matrixMul_compute, 38614, 350000,1695,9501,1695
9, 1644808441464871470,36, matrixMul_compute, 38614, 350000,1695,9501,1695
10, 1644808441470235180,36, matrixMul_compute, 38614, 350000,1695,9501,1695
11, 1644808441477455895,36, matrixMul_compute, 38614, 350000,1695,9501,1695
12, 1644808441480854624,36, matrixMul_compute, 38614, 350000,1695,9501,1695
13, 1644808441484256588,36, matrixMul_compute, 38614, 350000,1695,9501,1695
14, 1644808441487745075,36, matrixMul_compute, 38614, 350000,1695,9501,1695
15, 1644808441493039799,36, matrixMul_compute, 38614, 350000,1695,9501,1695
16, 1644808441496620492,36, matrixMul_compute, 38614, 350000,1695,9501,1695
17, 1644808441500153416,36, matrixMul_compute, 38614, 350000,1695,9501,1695
18, 1644808441503554602,36, matrixMul_compute, 38614, 350000,1695,9501,1695
19, 1644808441506926765,36, matrixMul_compute, 38614, 350000,1695,9501,1695
20, 1644808441511494075,36, matrixMul_compute, 38614, 350000,1695,9501,1695
21, 1644808441516960694,36, matrixMul_compute, 38614, 350000,1695,9501,1695
22, 1644808441520387246,36, matrixMul_compute, 38614, 350000,1695,9501,1695
23, 1644808441523741003,36, matrixMul_compute, 38614, 350000,1695,9501,1695
24, 1644808441527114420,36, matrixMul_compute, 38614, 350000,1695,9501,1695
25, 1644808441530578463,36, matrixMul_compute, 38614, 350000,1695,9501,1695
26, 1644808441535897896,36, matrixMul_compute, 38614, 350000,1695,9501,1695
27, 1644808441539450580,36, matrixMul_compute, 38614, 350000,1695,9501,1695
28, 1644808441542820028,36, matrixMul_compute, 38614, 350000,1695,9501,1695
29, 1644808441546201460,36, matrixMul_compute, 38614, 350000,1695,9501,1695
30, 1644808441549688826,36, matrixMul_compute, 38614, 350000,1695,9501,1695
31, 1644808441553969766,36, matrixMul_compute, 43694, 350000,1695,9501,1695
32, 1644808441559448438,36, matrixMul_compute, 43694, 350000,1695,9501,1695
33, 1644808441562866150,36, matrixMul_compute, 43694, 350000,1695,9501,1695
34, 1644808441566261395,36, matrixMul_compute, 43694, 350000,1695,9501,1695
35, 1644808441569633066,36, matrixMul_compute, 43694, 350000,1695,9501,1695
36, 1644808441573009184,36, matrixMul_compute, 43694, 350000,1695,9501,1695
37, 1644808441578319509,36, matrixMul_compute, 43694, 350000,1695,9501,1695
38, 1644808441586843399,36, matrixMul_compute, 43694, 350000,1695,9501,1695
39, 1644808441590219452,36, matrixMul_compute, 43694, 350000,1695,9501,1695
40, 1644808441593620818,36, matrixMul_compute, 43694, 350000,1695,9501,1695
41, 1644808441598504374,36, matrixMul_compute, 43694, 350000,1695,9501,1695
42, 1644808441603598185,36, matrixMul_compute, 43694, 350000,1695,9501,1695
43, 1644808441607118739,36, matrixMul_compute, 43694, 350000,1695,9501,1695
44, 1644808441610522227,36, matrixMul_compute, 43694, 350000,1695,9501,1695
45, 1644808441613919211,36, matrixMul_compute, 43694, 350000,1695,9501,1695
46, 1644808441617975963,36, matrixMul_compute, 43694, 350000,1695,9501,1695
47, 1644808441623168630,36, matrixMul_compute, 43694, 350000,1695,9501,1695
48, 1644808441626631866,36, matrixMul_compute, 43694, 350000,1695,9501,1695
49, 1644808441630009390,36, matrixMul_compute, 43694, 350000,1695,9501,1695
50, 1644808441633390385,36, matrixMul_compute, 43694, 350000,1695,9501,1695
51, 1644808441636751623,36, matrixMul_compute, 43694, 350000,1695,9501,1695
52, 1644808441641843446,36, matrixMul_compute, 43694, 350000,1695,9501,1695
53, 1644808441646581420,36, matrixMul_compute, 43694, 350000,1695,9501,1695
54, 1644808441649951930,36, matrixMul_compute, 43694, 350000,1695,9501,1695
55, 1644808441653330112,36, matrixMul_compute, 43694, 350000,1695,9501,1695
56, 1644808441656905054,36, matrixMul_compute, 43694, 350000,1695,9501,1695
57, 1644808441661023117,36, matrixMul_compute, 48113, 350000,1695,9501,1695
58, 1644808441666825825,36, matrixMul_compute, 48113, 350000,1695,9501,1695
59, 1644808441670306976,36, matrixMul_compute, 48113, 350000,1695,9501,1695
60, 1644808441673659363,36, matrixMul_compute, 48113, 350000,1695,9501,1695
61, 1644808441677048848,36, matrixMul_compute, 48113, 350000,1695,9501,1695
62, 1644808441680412235,36, matrixMul_compute, 48113, 350000,1695,9501,1695
63, 1644808441685665753,36, matrixMul_compute, 48113, 350000,1695,9501,1695
64, 1644808441689825306,36, matrixMul_compute, 48113, 350000,1695,9501,1695
65, 1644808441693217312,36, matrixMul_compute, 48113, 350000,1695,9501,1695
66, 1644808441696602323,36, matrixMul_compute, 48113, 350000,1695,9501,1695
67, 1644808441699977684,36, matrixMul_compute, 48113, 350000,1695,9501,1695
68, 1644808441704000638,36, matrixMul_compute, 48113, 350000,1695,9501,1695
69, 1644808441709923647,36, matrixMul_compute, 48113, 350000,1695,9501,1695
70, 1644808441713442627,36, matrixMul_compute, 48113, 350000,1695,9501,1695
71, 1644808441716801324,36, matrixMul_compute, 48113, 350000,1695,9501,1695
72, 1644808441720182733,36, matrixMul_compute, 48113, 350000,1695,9501,1695
73, 1644808441723552086,36, matrixMul_compute, 48113, 350000,1695,9501,1695
74, 1644808441728840588,36, matrixMul_compute, 48113, 350000,1695,9501,1695
75, 1644808441732412670,36, matrixMul_compute, 48113, 350000,1695,9501,1695
76, 1644808441735782224,36, matrixMul_compute, 48113, 350000,1695,9501,1695
77, 1644808441739162626,36, matrixMul_compute, 48113, 350000,1695,9501,1695
78, 1644808441742520929,36, matrixMul_compute, 48113, 350000,1695,9501,1695
79, 1644808441746186987,36, matrixMul_compute, 48113, 350000,1695,9501,1695
80, 1644808441751419967,36, matrixMul_compute, 48113, 350000,1695,9501,1695
81, 1644808441754869989,36, matrixMul_compute, 48113, 350000,1695,9501,1695
82, 1644808441758247930,36, matrixMul_compute, 48113, 350000,1695,9501,1695
83, 1644808441761613231,36, matrixMul_compute, 48113, 350000,1695,9501,1695
84, 1644808441765151186,36, matrixMul_compute, 52004, 350000,1695,9501,1695
85, 1644808441769924623,36, matrixMul_compute, 52004, 350000,1695,9501,1695
86, 1644808441775473843,36, matrixMul_compute, 52004, 350000,1695,9501,1695
87, 1644808441778874222,36, matrixMul_compute, 52004, 350000,1695,9501,1695
88, 1644808441782228709,36, matrixMul_compute, 52004, 350000,1695,9501,1695
89, 1644808441785597460,36, matrixMul_compute, 52004, 350000,1695,9501,1695
90, 1644808441789428904,36, matrixMul_compute, 52004, 350000,1695,9501,1695
91, 1644808441794995722,36, matrixMul_compute, 52004, 350000,1695,9501,1695
92, 1644808441798543792,36, matrixMul_compute, 52004, 350000,1695,9501,1695
93, 1644808441801921353,36, matrixMul_compute, 52004, 350000,1695,9501,1695
94, 1644808441805273115,36, matrixMul_compute, 52004, 350000,1695,9501,1695
95, 1644808441808638341,36, matrixMul_compute, 52004, 350000,1695,9501,1695
96, 1644808441813812160,36, matrixMul_compute, 52004, 350000,1695,9501,1695
97, 1644808441818303495,36, matrixMul_compute, 52004, 350000,1695,9501,1695
98, 1644808441821987977,36, matrixMul_compute, 52004, 350000,1695,9501,1695
99, 1644808441825369917,36, matrixMul_compute, 52004, 350000,1695,9501,1695
100, 1644808441828733291,36, matrixMul_compute, 52004, 350000,1695,9501,1695
101, 1644808441832628120,36, matrixMul_compute, 52004, 350000,1695,9501,1695
102, 1644808441837850140,36, matrixMul_compute, 52004, 350000,1695,9501,1695
103, 1644808441841385588,36, matrixMul_compute, 52004, 350000,1695,9501,1695
104, 1644808441844754235,36, matrixMul_compute, 52004, 350000,1695,9501,1695
105, 1644808441848132503,36, matrixMul_compute, 52004, 350000,1695,9501,1695
106, 1644808441851741689,36, matrixMul_compute, 52004, 350000,1695,9501,1695
107, 1644808441856922698,36, matrixMul_compute, 52004, 350000,1695,9501,1695
108, 1644808441861200059,36, matrixMul_compute, 52004, 350000,1695,9501,1695
109, 1644808441864407610,36, matrixMul_compute, 52004, 350000,1695,9501,1695
110, 1644808441867789877,36, matrixMul_compute, 52004, 350000,1695,9501,1695
111, 1644808441871463348,36, matrixMul_compute, 52004, 350000,1695,9501,1695
112, 1644808441875983887,36, matrixMul_compute, 55457, 350000,1695,9501,1695
113, 1644808441881931655,36, matrixMul_compute, 55457, 350000,1695,9501,1695
114, 1644808441886404332,36, matrixMul_compute, 55457, 350000,1695,9501,1695
115, 1644808441889802771,36, matrixMul_compute, 55457, 350000,1695,9501,1695
116, 1644808441893194982,36, matrixMul_compute, 55457, 350000,1695,9501,1695
117, 1644808441896997219,36, matrixMul_compute, 55457, 350000,1695,9501,1695
118, 1644808441902625367,36, matrixMul_compute, 55457, 350000,1695,9501,1695
119, 1644808441906141211,36, matrixMul_compute, 55457, 350000,1695,9501,1695
120, 1644808441909528183,36, matrixMul_compute, 55457, 350000,1695,9501,1695
121, 1644808441912892947,36, matrixMul_compute, 55457, 350000,1695,9501,1695
122, 1644808441916267332,36, matrixMul_compute, 55457, 350000,1695,9501,1695
123, 1644808441921336628,36, matrixMul_compute, 55457, 350000,1695,9501,1695
124, 1644808441926224704,36, matrixMul_compute, 55457, 350000,1695,9501,1695
125, 1644808441929716658,36, matrixMul_compute, 55457, 350000,1695,9501,1695
126, 1644808441933114552,36, matrixMul_compute, 55457, 350000,1695,9501,1695
127, 1644808441936499031,36, matrixMul_compute, 55457, 350000,1695,9501,1695
128, 1644808441940604904,36, matrixMul_compute, 55457, 350000,1695,9501,1695
129, 1644808441945872688,36, matrixMul_compute, 55457, 350000,1695,9501,1695
130, 1644808441949345882,36, matrixMul_compute, 55457, 350000,1695,9501,1695
131, 1644808441952727329,36, matrixMul_compute, 55457, 350000,1695,9501,1695
132, 1644808441956118211,36, matrixMul_compute, 55457, 350000,1695,9501,1695
133, 1644808441959508451,36, matrixMul_compute, 55457, 350000,1695,9501,1695
134, 1644808441964762839,36, matrixMul_compute, 55457, 350000,1695,9501,1695
135, 1644808441968974041,36, matrixMul_compute, 55457, 350000,1695,9501,1695
136, 1644808441972346533,36, matrixMul_compute, 55457, 350000,1695,9501,1695
137, 1644808441975720473,36, matrixMul_compute, 55457, 350000,1695,9501,1695
138, 1644808441979225020,36, matrixMul_compute, 55457, 350000,1695,9501,1695
139, 1644808441983373327,36, matrixMul_compute, 58522, 350000,1695,9501,1695
140, 1644808441988816276,36, matrixMul_compute, 58522, 350000,1695,9501,1695
141, 1644808441992323853,36, matrixMul_compute, 58522, 350000,1695,9501,1695
142, 1644808441995706237,36, matrixMul_compute, 58522, 350000,1695,9501,1695
143, 1644808441999129862,36, matrixMul_compute, 58522, 350000,1695,9501,1695
144, 1644808442002535344,36, matrixMul_compute, 58522, 350000,1695,9501,1695
145, 1644808442007919938,36, matrixMul_compute, 58522, 350000,1695,9501,1695
146, 1644808442012435317,36, matrixMul_compute, 58522, 350000,1695,9501,1695
147, 1644808442015821638,36, matrixMul_compute, 58522, 350000,1695,9501,1695
148, 1644808442019226226,36, matrixMul_compute, 58522, 350000,1695,9501,1695
149, 1644808442022600560,36, matrixMul_compute, 58522, 350000,1695,9501,1695
