timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1651500337741391708,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
1,1651500337750916339,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
2,1651500337758281727,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
3,1651500337765594391,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
4,1651500337774423237,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
5,1651500337781640379,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
6,1651500337788916451,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
7,1651500337796199591,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
8,1651500337803437200,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
9,1651500337810685549,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
10,1651500337817997879,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
11,1651500337825285968,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
12,1651500337832440776,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
13,1651500337839776597,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
14,1651500337847495666,56,t1024_b200_matrixMul_compute,112488,350000,1395,9751,1395
15,1651500337855680469,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
16,1651500337863017100,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
17,1651500337870199154,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
18,1651500337878589817,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
19,1651500337886066824,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
20,1651500337893255242,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
21,1651500337902559122,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
22,1651500337910195979,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
23,1651500337917386487,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
24,1651500337925132603,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
25,1651500337932411656,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
26,1651500337939662538,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
27,1651500337947075151,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
28,1651500337954269012,56,t1024_b200_matrixMul_compute,112678,350000,1395,9751,1395
29,1651500337961863506,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
30,1651500337969806775,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
31,1651500337977047612,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
32,1651500337984304637,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
33,1651500337991610604,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
34,1651500337998833352,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
35,1651500338006174836,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
36,1651500338013655350,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
37,1651500338020879436,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
38,1651500338028743171,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
39,1651500338036342067,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
40,1651500338043510982,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
41,1651500338052203384,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
42,1651500338059486954,56,t1024_b200_matrixMul_compute,112796,350000,1395,9751,1395
43,1651500338066803234,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
44,1651500338075856363,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
45,1651500338083079971,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
46,1651500338090257008,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
47,1651500338098595744,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
48,1651500338106032344,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
49,1651500338113317140,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
50,1651500338120788164,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
51,1651500338128007130,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
52,1651500338135231220,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
53,1651500338142540108,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
54,1651500338149790587,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
55,1651500338157028128,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
56,1651500338164534610,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
57,1651500338171743432,56,t1024_b200_matrixMul_compute,112897,350000,1395,9751,1395
58,1651500338179967581,56,t1024_b200_matrixMul_compute,112988,350000,1395,9751,1395
59,1651500338187250925,56,t1024_b200_matrixMul_compute,112988,350000,1395,9751,1395
60,1651500338194402171,56,t1024_b200_matrixMul_compute,112988,350000,1395,9751,1395
