timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1642970443477274037,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
1, 1642970443480375005,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
2, 1642970443482730197,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
3, 1642970443484949729,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
4, 1642970443487176880,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
5, 1642970443489990445,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
6, 1642970443494006324,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
7, 1642970443498786760,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
8, 1642970443501145259,36, simpleCUBLAS, 107740, 350000,1695,9501,1695
9, 1642970443503445187,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
10, 1642970443505659195,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
11, 1642970443508106228,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
12, 1642970443510300940,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
13, 1642970443513902673,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
14, 1642970443518001798,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
15, 1642970443521999704,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
16, 1642970443524218752,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
17, 1642970443526445172,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
18, 1642970443528759102,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
19, 1642970443530963887,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
20, 1642970443533686471,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
21, 1642970443537820404,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
22, 1642970443542020384,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
23, 1642970443544408872,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
24, 1642970443546615956,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
25, 1642970443548826911,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
26, 1642970443551297139,37, simpleCUBLAS, 107740, 350000,1695,9501,1695
27, 1642970443553946197,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
28, 1642970443557861306,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
29, 1642970443562340108,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
30, 1642970443565503412,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
31, 1642970443567734920,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
32, 1642970443569956810,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
33, 1642970443572175992,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
34, 1642970443574394804,37, simpleCUBLAS, 108064, 350000,1695,9501,1695
