timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643740521162037161,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
1, 1643740521165180010,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
2, 1643740521167622493,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
3, 1643740521170632622,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
4, 1643740521175154870,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
5, 1643740521179516983,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
6, 1643740521181935233,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
7, 1643740521184335702,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
8, 1643740521186751843,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
9, 1643740521189537303,38, simpleCUBLAS, 108983, 350000,1695,9501,1695
10, 1643740521192647812,38, simpleCUBLAS, 111126, 350000,1695,9501,1695
11, 1643740521197687106,38, simpleCUBLAS, 111126, 350000,1695,9501,1695
12, 1643740521205708936,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
13, 1643740521208147423,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
14, 1643740521210588530,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
15, 1643740521213462371,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
16, 1643740521217888043,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
17, 1643740521222207120,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
18, 1643740521224696979,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
19, 1643740521227102663,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
20, 1643740521229536450,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
21, 1643740521231958754,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
22, 1643740521234642446,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
23, 1643740521238977020,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
24, 1643740521275080715,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
25, 1643740521278583734,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
26, 1643740521282887782,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
27, 1643740521290257106,40, simpleCUBLAS, 111126, 350000,1695,9501,1695
28, 1643740521292662989,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
29, 1643740521295365688,39, simpleCUBLAS, 111126, 350000,1695,9501,1695
30, 1643740521298724417,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
31, 1643740521302969126,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
32, 1643740521307427018,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
33, 1643740521310902610,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
34, 1643740521313314061,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
35, 1643740521315725175,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
36, 1643740521318125490,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
37, 1643740521321646865,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
38, 1643740521325983876,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
39, 1643740521329921845,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
40, 1643740521332311767,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
41, 1643740521334697981,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
42, 1643740521337156695,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
43, 1643740521339556262,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
44, 1643740521343029169,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
45, 1643740521347368539,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
46, 1643740521350883779,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
47, 1643740521353485037,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
48, 1643740521355873209,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
49, 1643740521361160355,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
50, 1643740521364683981,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
51, 1643740521368938474,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
52, 1643740521372855994,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
53, 1643740521375244932,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
54, 1643740521377655884,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
55, 1643740521380147013,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
56, 1643740521382538766,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
57, 1643740521385975150,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
58, 1643740521390233919,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
59, 1643740521393844812,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
60, 1643740521396247822,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
61, 1643740521398725140,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
62, 1643740521401292615,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
63, 1643740521404091161,39, simpleCUBLAS, 118639, 350000,1695,9501,1695
64, 1643740521407731996,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
65, 1643740521415792362,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
66, 1643740521418528375,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
67, 1643740521420926595,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
68, 1643740521423325822,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
69, 1643740521425711054,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
70, 1643740521429415561,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
71, 1643740521433729922,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
72, 1643740521437119350,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
73, 1643740521439515203,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
74, 1643740521441894407,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
75, 1643740521444300929,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
76, 1643740521446682820,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
77, 1643740521449915321,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
78, 1643740521454137979,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
79, 1643740521457672821,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
80, 1643740521460170883,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
81, 1643740521462558334,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
82, 1643740521465172340,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
83, 1643740521467568364,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
84, 1643740521470267601,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
85, 1643740521474814101,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
86, 1643740521479467236,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
87, 1643740521481874219,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
88, 1643740521484272360,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
89, 1643740521486685847,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
90, 1643740521489086693,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
91, 1643740521491919220,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
92, 1643740521496365377,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
93, 1643740521500570760,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
94, 1643740521502975227,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
95, 1643740521505380275,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
96, 1643740521507776959,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
97, 1643740521510349280,39, simpleCUBLAS, 119469, 350000,1695,9501,1695
98, 1643740521513582931,39, simpleCUBLAS, 120288, 350000,1695,9501,1695
99, 1643740521517761800,39, simpleCUBLAS, 120288, 350000,1695,9501,1695
100, 1643740521522132841,39, simpleCUBLAS, 120288, 350000,1695,9501,1695
101, 1643740521524577638,39, simpleCUBLAS, 120288, 350000,1695,9501,1695
102, 1643740521527154090,39, simpleCUBLAS, 120288, 350000,1695,9501,1695
103, 1643740521529560690,39, simpleCUBLAS, 120288, 350000,1695,9501,1695
104, 1643740521531939150,38, simpleCUBLAS, 120288, 350000,1695,9501,1695
105, 1643740521534747386,38, simpleCUBLAS, 120288, 350000,1695,9501,1695
106, 1643740521538949264,38, simpleCUBLAS, 120288, 350000,1695,9501,1695
107, 1643740521543227412,38, simpleCUBLAS, 120288, 350000,1695,9501,1695
