timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1642970533324706155,37, simpleCUBLAS_LU, 107609, 350000,1695,9501,1695
1, 1642970533327840850,37, simpleCUBLAS_LU, 107609, 350000,1695,9501,1695
2, 1642970533330240894,37, simpleCUBLAS_LU, 107609, 350000,1695,9501,1695
3, 1642970533332752425,37, simpleCUBLAS_LU, 107609, 350000,1695,9501,1695
4, 1642970533335272963,37, simpleCUBLAS_LU, 107609, 350000,1695,9501,1695
5, 1642970533338811539,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
6, 1642970533343280147,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
7, 1642970533346974961,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
8, 1642970533349366328,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
9, 1642970533351771623,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
10, 1642970533354156798,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
11, 1642970533356538231,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
12, 1642970533359477728,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
13, 1642970533363702862,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
14, 1642970533367723743,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
15, 1642970533370176701,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
16, 1642970533372551648,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
17, 1642970533374921474,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
18, 1642970533377267850,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
19, 1642970533379727505,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
20, 1642970533383949947,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
21, 1642970533388583911,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
22, 1642970533391068411,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
23, 1642970533393550075,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
24, 1642970533395925515,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
25, 1642970533398754260,37, simpleCUBLAS_LU, 108195, 350000,1695,9501,1695
