timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643740766304935167,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
1, 1643740766307975409,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
2, 1643740766310178365,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
3, 1643740766312405073,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
4, 1643740766314591627,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
5, 1643740766316773924,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
6, 1643740766320355623,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
7, 1643740766325816447,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
8, 1643740766328081047,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
9, 1643740766330510836,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
10, 1643740766332677613,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
11, 1643740766335048447,38, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
12, 1643740766337225856,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
13, 1643740766339764382,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
14, 1643740766343908002,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
15, 1643740766348272886,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
16, 1643740766352006183,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
17, 1643740766354174206,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
18, 1643740766356353703,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
19, 1643740766358534364,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
20, 1643740766360875738,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
21, 1643740766364804870,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
22, 1643740766368971066,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
23, 1643740766372114592,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
24, 1643740766374282720,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
25, 1643740766376442742,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
26, 1643740766379004345,39, simpleCUBLAS_LU, 110037, 350000,1695,9501,1695
27, 1643740766381805654,39, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
28, 1643740766385914463,39, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
29, 1643740766394047556,39, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
30, 1643740766396301529,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
31, 1643740766398473937,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
32, 1643740766400647573,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
33, 1643740766402830172,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
34, 1643740766406442591,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
35, 1643740766410587277,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
36, 1643740766414569983,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
37, 1643740766417151015,40, simpleCUBLAS_LU, 113732, 350000,1695,9501,1695
