timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1646947232502855712,34,idle128_vectorAdd_compute,23490,350000,210,405,210
1,1646947232511995620,34,idle128_vectorAdd_compute,23490,350000,210,405,210
2,1646947232520473001,34,idle128_vectorAdd_compute,23490,350000,210,405,210
3,1646947232528945468,34,idle128_vectorAdd_compute,23490,350000,210,405,210
4,1646947232537362181,34,idle128_vectorAdd_compute,23490,350000,210,405,210
5,1646947232545831919,34,idle128_vectorAdd_compute,23490,350000,210,405,210
6,1646947232554686881,34,idle128_vectorAdd_compute,23746,350000,210,405,210
7,1646947232563829486,34,idle128_vectorAdd_compute,23746,350000,210,405,210
8,1646947232572289475,34,idle128_vectorAdd_compute,23746,350000,210,405,210
9,1646947232580758000,34,idle128_vectorAdd_compute,23746,350000,210,405,210
10,1646947232594499745,34,idle128_vectorAdd_compute,23746,350000,210,405,210
11,1646947232602939468,34,idle128_vectorAdd_compute,23746,350000,210,405,210
12,1646947232611563823,34,idle128_vectorAdd_compute,23746,350000,210,405,210
13,1646947232619931086,34,idle128_vectorAdd_compute,23746,350000,210,405,210
14,1646947232628288395,34,idle128_vectorAdd_compute,23746,350000,210,405,210
15,1646947232636618506,34,idle128_vectorAdd_compute,23746,350000,210,405,210
16,1646947232645004181,34,idle128_vectorAdd_compute,23746,350000,210,405,210
17,1646947232653388660,34,idle128_vectorAdd_compute,23746,350000,210,405,210
18,1646947232661888185,34,idle128_vectorAdd_compute,24166,350000,210,405,210
19,1646947232670366206,34,idle128_vectorAdd_compute,24166,350000,210,405,210
20,1646947232678736330,34,idle128_vectorAdd_compute,24166,350000,210,405,210
21,1646947232687095761,34,idle128_vectorAdd_compute,24166,350000,210,405,210
22,1646947232703596746,34,idle128_vectorAdd_compute,24166,350000,210,405,210
23,1646947232711965972,34,idle128_vectorAdd_compute,24166,350000,210,405,210
24,1646947232720489634,34,idle128_vectorAdd_compute,24166,350000,210,405,210
25,1646947232728862754,34,idle128_vectorAdd_compute,24166,350000,210,405,210
26,1646947232737261644,34,idle128_vectorAdd_compute,24166,350000,210,405,210
27,1646947232745643009,34,idle128_vectorAdd_compute,24166,350000,210,405,210
28,1646947232754048214,34,idle128_vectorAdd_compute,24166,350000,210,405,210
29,1646947232762429536,34,idle128_vectorAdd_compute,24166,350000,210,405,210
30,1646947232771109255,34,idle128_vectorAdd_compute,24526,350000,210,405,210
31,1646947232780161541,34,idle128_vectorAdd_compute,24526,350000,210,405,210
32,1646947232788606648,34,idle128_vectorAdd_compute,24526,350000,210,405,210
33,1646947232796999436,34,idle128_vectorAdd_compute,24526,350000,210,405,210
34,1646947232811858180,34,idle128_vectorAdd_compute,24526,350000,210,405,210
35,1646947232820249108,34,idle128_vectorAdd_compute,24526,350000,210,405,210
36,1646947232828852306,34,idle128_vectorAdd_compute,24526,350000,210,405,210
37,1646947232837242435,34,idle128_vectorAdd_compute,24526,350000,210,405,210
38,1646947232845594499,34,idle128_vectorAdd_compute,24526,350000,210,405,210
39,1646947232853985811,34,idle128_vectorAdd_compute,24526,350000,210,405,210
40,1646947232862347926,34,idle128_vectorAdd_compute,24526,350000,210,405,210
41,1646947232870773475,34,idle128_vectorAdd_compute,24526,350000,210,405,210
42,1646947232879225589,34,idle128_vectorAdd_compute,26274,350000,210,405,210
43,1646947232887696786,34,idle128_vectorAdd_compute,26274,350000,210,405,210
44,1646947232896088654,34,idle128_vectorAdd_compute,26274,350000,210,405,210
45,1646947232904488563,34,idle128_vectorAdd_compute,26274,350000,210,405,210
46,1646947232912855445,34,idle128_vectorAdd_compute,26274,350000,210,405,210
47,1646947232921218972,34,idle128_vectorAdd_compute,26274,350000,210,405,210
48,1646947232929586819,34,idle128_vectorAdd_compute,26274,350000,210,405,210
49,1646947232938129107,34,idle128_vectorAdd_compute,26274,350000,210,405,210
50,1646947232946503602,34,idle128_vectorAdd_compute,26274,350000,210,405,210
51,1646947232954977962,34,idle128_vectorAdd_compute,26274,350000,210,405,210
52,1646947232963345855,34,idle128_vectorAdd_compute,26274,350000,210,405,210
53,1646947232971714576,34,idle128_vectorAdd_compute,26274,350000,210,405,210
54,1646947232980085998,34,idle128_vectorAdd_compute,26274,350000,210,405,210
55,1646947232988654089,34,idle128_vectorAdd_compute,26669,350000,210,405,210
56,1646947232997834543,34,idle128_vectorAdd_compute,26669,350000,210,405,210
57,1646947233006202404,34,idle128_vectorAdd_compute,26669,350000,210,405,210
58,1646947233014589292,34,idle128_vectorAdd_compute,26669,350000,210,405,210
59,1646947233029607953,34,idle128_vectorAdd_compute,26669,350000,210,405,210
60,1646947233038013389,34,idle128_vectorAdd_compute,26669,350000,210,405,210
61,1646947233046521320,34,idle128_vectorAdd_compute,26669,350000,210,405,210
62,1646947233054945233,34,idle128_vectorAdd_compute,26669,350000,210,405,210
63,1646947233063326479,34,idle128_vectorAdd_compute,26669,350000,210,405,210
64,1646947233071699107,34,idle128_vectorAdd_compute,26669,350000,210,405,210
65,1646947233080044801,34,idle128_vectorAdd_compute,26669,350000,210,405,210
66,1646947233088461377,34,idle128_vectorAdd_compute,26669,350000,210,405,210
