timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1642971219749346352,36, simpleCUFFT, 58752, 350000,1695,9501,1695
1, 1642971219752106372,36, simpleCUFFT, 58752, 350000,1695,9501,1695
2, 1642971219756159495,36, simpleCUFFT, 58752, 350000,1695,9501,1695
3, 1642971219761004973,36, simpleCUFFT, 58752, 350000,1695,9501,1695
4, 1642971219763309310,36, simpleCUFFT, 58752, 350000,1695,9501,1695
5, 1642971219765469210,36, simpleCUFFT, 58752, 350000,1695,9501,1695
6, 1642971219767582579,36, simpleCUFFT, 58752, 350000,1695,9501,1695
7, 1642971219772551845,36, simpleCUFFT, 58752, 350000,1695,9501,1695
8, 1642971219775845318,36, simpleCUFFT, 58752, 350000,1695,9501,1695
9, 1642971219779803497,36, simpleCUFFT, 58752, 350000,1695,9501,1695
10, 1642971219784306799,36, simpleCUFFT, 58752, 350000,1695,9501,1695
11, 1642971219786458275,36, simpleCUFFT, 58752, 350000,1695,9501,1695
12, 1642971219788551653,36, simpleCUFFT, 58752, 350000,1695,9501,1695
13, 1642971219790643758,36, simpleCUFFT, 58752, 350000,1695,9501,1695
14, 1642971219792747721,36, simpleCUFFT, 58752, 350000,1695,9501,1695
15, 1642971219794847104,36, simpleCUFFT, 58752, 350000,1695,9501,1695
16, 1642971219798597732,36, simpleCUFFT, 58752, 350000,1695,9501,1695
17, 1642971219802570215,36, simpleCUFFT, 58752, 350000,1695,9501,1695
18, 1642971219806243070,36, simpleCUFFT, 58752, 350000,1695,9501,1695
19, 1642971219808368084,36, simpleCUFFT, 58752, 350000,1695,9501,1695
20, 1642971219810462139,36, simpleCUFFT, 58752, 350000,1695,9501,1695
21, 1642971219812738139,36, simpleCUFFT, 58752, 350000,1695,9501,1695
22, 1642971219815180137,36, simpleCUFFT, 58752, 350000,1695,9501,1695
23, 1642971219818455278,36, simpleCUFFT, 63255, 350000,1695,9501,1695
24, 1642971219822953671,36, simpleCUFFT, 63255, 350000,1695,9501,1695
25, 1642971219832535310,36, simpleCUFFT, 63255, 350000,1695,9501,1695
26, 1642971219834630526,36, simpleCUFFT, 63255, 350000,1695,9501,1695
27, 1642971219836747172,36, simpleCUFFT, 63255, 350000,1695,9501,1695
28, 1642971219839776125,36, simpleCUFFT, 63255, 350000,1695,9501,1695
29, 1642971219843836361,36, simpleCUFFT, 63255, 350000,1695,9501,1695
30, 1642971219847914201,36, simpleCUFFT, 63255, 350000,1695,9501,1695
