timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1645237240702589864,33,simpleCUFFT_hybrid,26134,350000,210,405,210
1,1645237240711419536,34,simpleCUFFT_hybrid,26134,350000,210,405,210
2,1645237240720203299,34,simpleCUFFT_hybrid,26231,350000,210,405,210
3,1645237240729252547,34,simpleCUFFT_hybrid,26231,350000,210,405,210
4,1645237240737708701,34,simpleCUFFT_hybrid,26231,350000,210,405,210
5,1645237240746083388,34,simpleCUFFT_hybrid,26231,350000,210,405,210
6,1645237240754567824,34,simpleCUFFT_hybrid,26231,350000,210,405,210
7,1645237240762975097,34,simpleCUFFT_hybrid,26231,350000,210,405,210
8,1645237240771395962,34,simpleCUFFT_hybrid,26231,350000,210,405,210
9,1645237240779897223,34,simpleCUFFT_hybrid,26231,350000,210,405,210
10,1645237240788316207,34,simpleCUFFT_hybrid,26231,350000,210,405,210
11,1645237240796746879,34,simpleCUFFT_hybrid,26231,350000,210,405,210
12,1645237240805164982,34,simpleCUFFT_hybrid,26231,350000,210,405,210
13,1645237240813597934,34,simpleCUFFT_hybrid,26231,350000,210,405,210
14,1645237240822024700,34,simpleCUFFT_hybrid,26231,350000,210,405,210
15,1645237240830855830,34,simpleCUFFT_hybrid,26258,350000,210,405,210
16,1645237240839456816,34,simpleCUFFT_hybrid,26258,350000,210,405,210
17,1645237240847881542,34,simpleCUFFT_hybrid,26258,350000,210,405,210
18,1645237240856307114,34,simpleCUFFT_hybrid,26258,350000,210,405,210
19,1645237240864774646,34,simpleCUFFT_hybrid,26258,350000,210,405,210
20,1645237240873196046,34,simpleCUFFT_hybrid,26258,350000,210,405,210
21,1645237240881736857,34,simpleCUFFT_hybrid,26258,350000,210,405,210
22,1645237240890231443,34,simpleCUFFT_hybrid,26258,350000,210,405,210
23,1645237240899078831,34,simpleCUFFT_hybrid,26258,350000,210,405,210
24,1645237240907225731,34,simpleCUFFT_hybrid,26258,350000,210,405,210
25,1645237240915606358,34,simpleCUFFT_hybrid,26258,350000,210,405,210
26,1645237240924001167,34,simpleCUFFT_hybrid,26258,350000,210,405,210
27,1645237240932415499,34,simpleCUFFT_hybrid,26258,350000,210,405,210
28,1645237240940866407,34,simpleCUFFT_hybrid,26296,350000,210,405,210
29,1645237240949474600,34,simpleCUFFT_hybrid,26296,350000,210,405,210
30,1645237240957927647,34,simpleCUFFT_hybrid,26296,350000,210,405,210
31,1645237240966313161,34,simpleCUFFT_hybrid,26296,350000,210,405,210
32,1645237240974748247,34,simpleCUFFT_hybrid,26296,350000,210,405,210
33,1645237240983172145,34,simpleCUFFT_hybrid,26296,350000,210,405,210
34,1645237240991772894,34,simpleCUFFT_hybrid,26296,350000,210,405,210
35,1645237241000286082,34,simpleCUFFT_hybrid,26296,350000,210,405,210
36,1645237241008695103,34,simpleCUFFT_hybrid,26296,350000,210,405,210
37,1645237241017083418,34,simpleCUFFT_hybrid,26296,350000,210,405,210
