timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648605425062880330,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
1,1648605425072655895,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
2,1648605425080270748,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
3,1648605425087786386,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
4,1648605425096000070,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
5,1648605425103596119,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
6,1648605425111116048,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
7,1648605425118983390,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
8,1648605425126554968,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
9,1648605425134618171,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
10,1648605425142319290,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
11,1648605425149855818,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
12,1648605425158975327,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
13,1648605425166532139,56,idle128_r4_simpleCUFFT_hybrid,111899,350000,1395,9751,1395
14,1648605425174350950,56,idle128_r4_simpleCUFFT_hybrid,112091,350000,1395,9751,1395
15,1648605425182133516,56,idle128_r4_simpleCUFFT_hybrid,112091,350000,1395,9751,1395
16,1648605425189729460,56,idle128_r4_simpleCUFFT_hybrid,112091,350000,1395,9751,1395
17,1648605425197174555,56,idle128_r4_simpleCUFFT_hybrid,112091,350000,1395,9751,1395
18,1648605425205086539,56,idle128_r4_simpleCUFFT_hybrid,112091,350000,1395,9751,1395
