timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647034812008249092,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
1,1647034812019750599,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
2,1647034812028401679,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
3,1647034812036945850,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
4,1647034812052161816,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
5,1647034812060748861,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
6,1647034812069335130,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
7,1647034812077936112,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
8,1647034812086599442,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
9,1647034812095160867,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
10,1647034812103712472,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
11,1647034812112395143,33,idle32_simpleCUFFT_hybrid,23067,350000,210,405,210
12,1647034812121368689,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
13,1647034812130181340,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
14,1647034812138716230,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
15,1647034812147307498,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
16,1647034812160746833,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
17,1647034812169300257,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
18,1647034812178103248,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
19,1647034812186631066,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
20,1647034812195182010,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
21,1647034812203705080,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
22,1647034812212245985,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
23,1647034812220784520,33,idle32_simpleCUFFT_hybrid,23589,350000,210,405,210
24,1647034812229772537,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
25,1647034812239043780,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
26,1647034812247595460,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
27,1647034812256131011,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
28,1647034812270114365,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
29,1647034812278659562,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
30,1647034812287358820,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
31,1647034812295902327,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
32,1647034812304510076,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
33,1647034812313035211,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
34,1647034812321569038,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
35,1647034812330096429,33,idle32_simpleCUFFT_hybrid,24027,350000,210,405,210
36,1647034812339046125,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
37,1647034812347797293,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
38,1647034812356293410,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
39,1647034812364774004,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
40,1647034812373368962,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
41,1647034812381861545,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
42,1647034812390290851,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
43,1647034812398831112,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
44,1647034812407327572,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
45,1647034812415872366,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
46,1647034812424419075,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
47,1647034812432974661,33,idle32_simpleCUFFT_hybrid,24379,350000,210,405,210
