timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643903691088183905,36, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
1, 1643903691091569310,36, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
2, 1643903691094211045,36, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
3, 1643903691096879958,36, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
4, 1643903691099743726,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
5, 1643903691104356143,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
6, 1643903691109466417,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
7, 1643903691112141080,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
8, 1643903691114807460,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
9, 1643903691117415360,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
10, 1643903691120018507,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
11, 1643903691124300483,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
12, 1643903691128841192,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
13, 1643903691131764804,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
14, 1643903691134363532,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
15, 1643903691137119689,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
16, 1643903691140004549,37, 8 Blocks 1024 Threads, 57758, 350000,1695,9501,1695
17, 1643903691143552272,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
18, 1643903691148075506,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
19, 1643903691158669562,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
20, 1643903691161265973,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
21, 1643903691163877248,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
22, 1643903691168509016,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
23, 1643903691172864212,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
24, 1643903691175502464,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
25, 1643903691178116350,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
26, 1643903691180739931,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
27, 1643903691183371352,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
28, 1643903691186582510,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
29, 1643903691191066998,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
30, 1643903691194485440,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
31, 1643903691197157394,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
32, 1643903691199783106,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
33, 1643903691202572712,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
34, 1643903691205172862,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
35, 1643903691208838336,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
36, 1643903691213314275,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
37, 1643903691216512523,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
38, 1643903691219050548,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
39, 1643903691221597994,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
40, 1643903691224155950,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
41, 1643903691226714819,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
42, 1643903691229860450,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
43, 1643903691234285399,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
44, 1643903691237929499,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
45, 1643903691240472212,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
46, 1643903691243009713,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
47, 1643903691245547268,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
48, 1643903691248263070,37, 8 Blocks 1024 Threads, 62264, 350000,1695,9501,1695
49, 1643903691251958401,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
50, 1643903691256734855,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
51, 1643903691260200980,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
52, 1643903691262714873,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
53, 1643903691265253276,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
54, 1643903691267795846,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
55, 1643903691270325695,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
56, 1643903691274459429,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
57, 1643903691278909642,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
58, 1643903691281772996,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
59, 1643903691284307359,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
60, 1643903691286901210,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
61, 1643903691289429917,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
62, 1643903691291947381,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
63, 1643903691296180716,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
64, 1643903691301374926,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
65, 1643903691304024944,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
66, 1643903691306667870,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
67, 1643903691309194906,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
68, 1643903691311721188,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
69, 1643903691314236755,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
70, 1643903691318674797,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
71, 1643903691323274084,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
72, 1643903691325829050,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
73, 1643903691328356456,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
74, 1643903691330878429,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
75, 1643903691333508644,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
76, 1643903691336177833,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
77, 1643903691340767367,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
78, 1643903691345276958,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
79, 1643903691347810229,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
80, 1643903691350348329,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
81, 1643903691352869780,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
82, 1643903691355682680,37, 8 Blocks 1024 Threads, 66226, 350000,1695,9501,1695
83, 1643903691359036437,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
84, 1643903691363894653,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
85, 1643903691370314985,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
86, 1643903691372849737,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
87, 1643903691375383877,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
88, 1643903691377734736,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
89, 1643903691381620767,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
90, 1643903691386062244,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
91, 1643903691389008281,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
92, 1643903691391537073,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
93, 1643903691394039293,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
94, 1643903691396585317,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
95, 1643903691399160076,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
96, 1643903691402835773,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
97, 1643903691408307584,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
98, 1643903691410922750,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
99, 1643903691413535664,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
100, 1643903691416058152,37, 8 Blocks 1024 Threads, 69642, 350000,1695,9501,1695
