timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644178791951544174,36, 2048 blocks 256 threads, 36422, 350000,1695,9501,1695
1, 1644178791954300535,36, 2048 blocks 256 threads, 36422, 350000,1695,9501,1695
2, 1644178791956481599,36, 2048 blocks 256 threads, 36422, 350000,1695,9501,1695
3, 1644178791958665653,36, 2048 blocks 256 threads, 36422, 350000,1695,9501,1695
4, 1644178791961142020,36, 2048 blocks 256 threads, 36422, 350000,1695,9501,1695
5, 1644178791963962532,36, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
6, 1644178791967817677,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
7, 1644178791979943800,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
8, 1644178791982099582,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
9, 1644178791984253053,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
10, 1644178791986928691,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
11, 1644178791990855910,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
12, 1644178791994914967,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
13, 1644178791997781664,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
14, 1644178791999994852,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
15, 1644178792002138948,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
16, 1644178792004264790,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
17, 1644178792006395403,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
18, 1644178792009804722,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
19, 1644178792013705551,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
20, 1644178792017313068,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
21, 1644178792020094505,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
22, 1644178792022203866,37, 2048 blocks 256 threads, 40982, 350000,1695,9501,1695
