timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644808889482857951,36, coalescing_memory, 32939, 350000,1695,9501,1695
1, 1644808889487391146,36, coalescing_memory, 32939, 350000,1695,9501,1695
2, 1644808889492202061,36, coalescing_memory, 32939, 350000,1695,9501,1695
3, 1644808889495698872,36, coalescing_memory, 32939, 350000,1695,9501,1695
4, 1644808889498656447,36, coalescing_memory, 32939, 350000,1695,9501,1695
5, 1644808889501583702,36, coalescing_memory, 32939, 350000,1695,9501,1695
6, 1644808889504536157,36, coalescing_memory, 32939, 350000,1695,9501,1695
7, 1644808889507914579,36, coalescing_memory, 32939, 350000,1695,9501,1695
8, 1644808889512727713,36, coalescing_memory, 32939, 350000,1695,9501,1695
9, 1644808889515823311,36, coalescing_memory, 32939, 350000,1695,9501,1695
10, 1644808889518766300,36, coalescing_memory, 32939, 350000,1695,9501,1695
11, 1644808889521725080,36, coalescing_memory, 32939, 350000,1695,9501,1695
12, 1644808889565014881,37, coalescing_memory, 38243, 350000,1695,9501,1695
13, 1644808889568872339,37, coalescing_memory, 38243, 350000,1695,9501,1695
14, 1644808889572952512,37, coalescing_memory, 38243, 350000,1695,9501,1695
15, 1644808889578724463,37, coalescing_memory, 38243, 350000,1695,9501,1695
16, 1644808889581926700,36, coalescing_memory, 38243, 350000,1695,9501,1695
17, 1644808889584862882,36, coalescing_memory, 38243, 350000,1695,9501,1695
18, 1644808889587826551,36, coalescing_memory, 38243, 350000,1695,9501,1695
19, 1644808889590782406,36, coalescing_memory, 38243, 350000,1695,9501,1695
20, 1644808889595311585,36, coalescing_memory, 38243, 350000,1695,9501,1695
21, 1644808889600286933,36, coalescing_memory, 38243, 350000,1695,9501,1695
22, 1644808889603325228,36, coalescing_memory, 38243, 350000,1695,9501,1695
23, 1644808889606281954,36, coalescing_memory, 38243, 350000,1695,9501,1695
24, 1644808889609251145,36, coalescing_memory, 38243, 350000,1695,9501,1695
25, 1644808889612227989,37, coalescing_memory, 38243, 350000,1695,9501,1695
26, 1644808889616423343,37, coalescing_memory, 38243, 350000,1695,9501,1695
27, 1644808889621290972,37, coalescing_memory, 38243, 350000,1695,9501,1695
28, 1644808889624301879,37, coalescing_memory, 38243, 350000,1695,9501,1695
29, 1644808889627235974,37, coalescing_memory, 38243, 350000,1695,9501,1695
30, 1644808889630176079,37, coalescing_memory, 38243, 350000,1695,9501,1695
31, 1644808889633384484,37, coalescing_memory, 42726, 350000,1695,9501,1695
32, 1644808889637581083,37, coalescing_memory, 42726, 350000,1695,9501,1695
33, 1644808889642844509,37, coalescing_memory, 42726, 350000,1695,9501,1695
34, 1644808889645906218,37, coalescing_memory, 42726, 350000,1695,9501,1695
35, 1644808889648871080,37, coalescing_memory, 42726, 350000,1695,9501,1695
36, 1644808889651808049,37, coalescing_memory, 42726, 350000,1695,9501,1695
37, 1644808889654742197,37, coalescing_memory, 42726, 350000,1695,9501,1695
38, 1644808889658925792,37, coalescing_memory, 42726, 350000,1695,9501,1695
39, 1644808889664247051,37, coalescing_memory, 42726, 350000,1695,9501,1695
40, 1644808889667391110,37, coalescing_memory, 42726, 350000,1695,9501,1695
41, 1644808889670321308,37, coalescing_memory, 42726, 350000,1695,9501,1695
42, 1644808889673274537,37, coalescing_memory, 42726, 350000,1695,9501,1695
43, 1644808889676244413,37, coalescing_memory, 42726, 350000,1695,9501,1695
44, 1644808889680302609,37, coalescing_memory, 42726, 350000,1695,9501,1695
45, 1644808889686037962,37, coalescing_memory, 42726, 350000,1695,9501,1695
46, 1644808889689164705,37, coalescing_memory, 42726, 350000,1695,9501,1695
47, 1644808889692102693,37, coalescing_memory, 42726, 350000,1695,9501,1695
48, 1644808889695050813,37, coalescing_memory, 42726, 350000,1695,9501,1695
49, 1644808889697975534,37, coalescing_memory, 42726, 350000,1695,9501,1695
50, 1644808889702038807,37, coalescing_memory, 42726, 350000,1695,9501,1695
51, 1644808889707544242,37, coalescing_memory, 42726, 350000,1695,9501,1695
52, 1644808889710593219,37, coalescing_memory, 42726, 350000,1695,9501,1695
53, 1644808889713551416,37, coalescing_memory, 42726, 350000,1695,9501,1695
54, 1644808889716515707,37, coalescing_memory, 42726, 350000,1695,9501,1695
55, 1644808889719490384,37, coalescing_memory, 42726, 350000,1695,9501,1695
56, 1644808889723562516,37, coalescing_memory, 42726, 350000,1695,9501,1695
57, 1644808889728213694,37, coalescing_memory, 42726, 350000,1695,9501,1695
58, 1644808889731280662,37, coalescing_memory, 42726, 350000,1695,9501,1695
59, 1644808889734231518,37, coalescing_memory, 42726, 350000,1695,9501,1695
60, 1644808889737200320,37, coalescing_memory, 42726, 350000,1695,9501,1695
61, 1644808889740329886,37, coalescing_memory, 42726, 350000,1695,9501,1695
62, 1644808889743955966,37, coalescing_memory, 46738, 350000,1695,9501,1695
63, 1644808889749419887,37, coalescing_memory, 46738, 350000,1695,9501,1695
64, 1644808889755461014,37, coalescing_memory, 46738, 350000,1695,9501,1695
65, 1644808889758410994,37, coalescing_memory, 46738, 350000,1695,9501,1695
66, 1644808889761374899,37, coalescing_memory, 46738, 350000,1695,9501,1695
67, 1644808889764501968,37, coalescing_memory, 46738, 350000,1695,9501,1695
68, 1644808889769348024,37, coalescing_memory, 46738, 350000,1695,9501,1695
69, 1644808889773839928,37, coalescing_memory, 46738, 350000,1695,9501,1695
70, 1644808889776793383,37, coalescing_memory, 46738, 350000,1695,9501,1695
71, 1644808889779739349,37, coalescing_memory, 46738, 350000,1695,9501,1695
72, 1644808889782694495,37, coalescing_memory, 46738, 350000,1695,9501,1695
73, 1644808889785766626,37, coalescing_memory, 46738, 350000,1695,9501,1695
74, 1644808889790431497,37, coalescing_memory, 46738, 350000,1695,9501,1695
75, 1644808889794483666,37, coalescing_memory, 46738, 350000,1695,9501,1695
76, 1644808889797583531,37, coalescing_memory, 46738, 350000,1695,9501,1695
77, 1644808889800558161,37, coalescing_memory, 46738, 350000,1695,9501,1695
78, 1644808889803489083,37, coalescing_memory, 46738, 350000,1695,9501,1695
79, 1644808889806447901,37, coalescing_memory, 46738, 350000,1695,9501,1695
80, 1644808889811371549,37, coalescing_memory, 46738, 350000,1695,9501,1695
81, 1644808889815935801,37, coalescing_memory, 46738, 350000,1695,9501,1695
82, 1644808889818904743,37, coalescing_memory, 46738, 350000,1695,9501,1695
83, 1644808889821874850,37, coalescing_memory, 46738, 350000,1695,9501,1695
84, 1644808889824828979,37, coalescing_memory, 46738, 350000,1695,9501,1695
85, 1644808889827769727,37, coalescing_memory, 46738, 350000,1695,9501,1695
86, 1644808889832595996,37, coalescing_memory, 46738, 350000,1695,9501,1695
87, 1644808889837193742,37, coalescing_memory, 46738, 350000,1695,9501,1695
88, 1644808889840164368,37, coalescing_memory, 46738, 350000,1695,9501,1695
89, 1644808889843126471,37, coalescing_memory, 46738, 350000,1695,9501,1695
90, 1644808889846241323,37, coalescing_memory, 46738, 350000,1695,9501,1695
91, 1644808889849546249,37, coalescing_memory, 50311, 350000,1695,9501,1695
92, 1644808889854466892,37, coalescing_memory, 50311, 350000,1695,9501,1695
93, 1644808889859184889,37, coalescing_memory, 50311, 350000,1695,9501,1695
94, 1644808889862152227,37, coalescing_memory, 50311, 350000,1695,9501,1695
95, 1644808889865096590,37, coalescing_memory, 50311, 350000,1695,9501,1695
96, 1644808889868033862,37, coalescing_memory, 50311, 350000,1695,9501,1695
97, 1644808889870977656,37, coalescing_memory, 50311, 350000,1695,9501,1695
98, 1644808889875975998,37, coalescing_memory, 50311, 350000,1695,9501,1695
99, 1644808889880721612,37, coalescing_memory, 50311, 350000,1695,9501,1695
100, 1644808889883657573,37, coalescing_memory, 50311, 350000,1695,9501,1695
101, 1644808889886619303,37, coalescing_memory, 50311, 350000,1695,9501,1695
102, 1644808889889573029,37, coalescing_memory, 50311, 350000,1695,9501,1695
103, 1644808889892547681,37, coalescing_memory, 50311, 350000,1695,9501,1695
104, 1644808889897439487,37, coalescing_memory, 50311, 350000,1695,9501,1695
105, 1644808889902348048,37, coalescing_memory, 50311, 350000,1695,9501,1695
106, 1644808889905406825,37, coalescing_memory, 50311, 350000,1695,9501,1695
107, 1644808889908379168,37, coalescing_memory, 50311, 350000,1695,9501,1695
108, 1644808889911333569,37, coalescing_memory, 50311, 350000,1695,9501,1695
109, 1644808889914292242,37, coalescing_memory, 50311, 350000,1695,9501,1695
110, 1644808889919141665,37, coalescing_memory, 50311, 350000,1695,9501,1695
111, 1644808889923176876,37, coalescing_memory, 50311, 350000,1695,9501,1695
112, 1644808889926130374,37, coalescing_memory, 50311, 350000,1695,9501,1695
113, 1644808889929091574,37, coalescing_memory, 50311, 350000,1695,9501,1695
114, 1644808889932051356,37, coalescing_memory, 50311, 350000,1695,9501,1695
115, 1644808889935027809,37, coalescing_memory, 50311, 350000,1695,9501,1695
116, 1644808889939765302,37, coalescing_memory, 50311, 350000,1695,9501,1695
117, 1644808889944563949,37, coalescing_memory, 50311, 350000,1695,9501,1695
