timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643742598386333914,36, global-stride, 35843, 350000,1695,9501,1695
1, 1643742598389486924,36, global-stride, 35843, 350000,1695,9501,1695
2, 1643742598391847701,36, global-stride, 35843, 350000,1695,9501,1695
3, 1643742598394461717,36, global-stride, 35843, 350000,1695,9501,1695
4, 1643742598397487367,36, global-stride, 48589, 350000,1695,9501,1695
5, 1643742598401782811,36, global-stride, 48589, 350000,1695,9501,1695
6, 1643742598414693277,37, global-stride, 48589, 350000,1695,9501,1695
7, 1643742598417007588,37, global-stride, 48589, 350000,1695,9501,1695
8, 1643742598419451097,37, global-stride, 48589, 350000,1695,9501,1695
9, 1643742598423713982,37, global-stride, 48589, 350000,1695,9501,1695
10, 1643742598427951113,37, global-stride, 48589, 350000,1695,9501,1695
11, 1643742598432544008,37, global-stride, 48589, 350000,1695,9501,1695
12, 1643742598434857985,37, global-stride, 48589, 350000,1695,9501,1695
13, 1643742598437160952,37, global-stride, 48589, 350000,1695,9501,1695
14, 1643742598439469663,37, global-stride, 48589, 350000,1695,9501,1695
15, 1643742598442639204,38, global-stride, 48589, 350000,1695,9501,1695
16, 1643742598446738389,38, global-stride, 48589, 350000,1695,9501,1695
17, 1643742598482611317,37, global-stride, 48589, 350000,1695,9501,1695
18, 1643742598486863612,37, global-stride, 48589, 350000,1695,9501,1695
19, 1643742598491124219,37, global-stride, 48589, 350000,1695,9501,1695
20, 1643742598495262285,37, global-stride, 48589, 350000,1695,9501,1695
21, 1643742598497581242,37, global-stride, 48589, 350000,1695,9501,1695
22, 1643742598499862736,37, global-stride, 48589, 350000,1695,9501,1695
23, 1643742598502245189,37, global-stride, 48589, 350000,1695,9501,1695
24, 1643742598505327134,37, global-stride, 59004, 350000,1695,9501,1695
25, 1643742598509376695,37, global-stride, 59004, 350000,1695,9501,1695
26, 1643742598513703241,37, global-stride, 59004, 350000,1695,9501,1695
27, 1643742598517095424,37, global-stride, 59004, 350000,1695,9501,1695
28, 1643742598519410766,37, global-stride, 59004, 350000,1695,9501,1695
