timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647039248815524290,38,idle512_coalescing_memory,27094,350000,210,405,210
1,1647039248824290776,38,idle512_coalescing_memory,27094,350000,210,405,210
2,1647039248832345714,38,idle512_coalescing_memory,27094,350000,210,405,210
3,1647039248840393025,38,idle512_coalescing_memory,27094,350000,210,405,210
4,1647039248848395552,38,idle512_coalescing_memory,27094,350000,210,405,210
5,1647039248856412652,38,idle512_coalescing_memory,27094,350000,210,405,210
6,1647039248864425708,38,idle512_coalescing_memory,27094,350000,210,405,210
7,1647039248872428768,38,idle512_coalescing_memory,27094,350000,210,405,210
8,1647039248880460415,38,idle512_coalescing_memory,27094,350000,210,405,210
9,1647039248888474232,38,idle512_coalescing_memory,27094,350000,210,405,210
10,1647039248896894063,38,idle512_coalescing_memory,27499,350000,210,405,210
11,1647039248904957068,38,idle512_coalescing_memory,27499,350000,210,405,210
12,1647039248913015755,39,idle512_coalescing_memory,27499,350000,210,405,210
13,1647039248921064223,39,idle512_coalescing_memory,27499,350000,210,405,210
14,1647039248929127535,39,idle512_coalescing_memory,27499,350000,210,405,210
15,1647039248937385266,39,idle512_coalescing_memory,27499,350000,210,405,210
16,1647039248945298847,39,idle512_coalescing_memory,27499,350000,210,405,210
17,1647039248953351587,39,idle512_coalescing_memory,27499,350000,210,405,210
18,1647039248961353027,39,idle512_coalescing_memory,27499,350000,210,405,210
19,1647039248969376398,39,idle512_coalescing_memory,27499,350000,210,405,210
20,1647039248977382067,38,idle512_coalescing_memory,27499,350000,210,405,210
21,1647039248985395477,38,idle512_coalescing_memory,27499,350000,210,405,210
22,1647039248993433484,38,idle512_coalescing_memory,27499,350000,210,405,210
23,1647039249001531666,38,idle512_coalescing_memory,27850,350000,210,405,210
24,1647039249009527802,38,idle512_coalescing_memory,27850,350000,210,405,210
25,1647039249017555686,38,idle512_coalescing_memory,27850,350000,210,405,210
26,1647039249025523760,38,idle512_coalescing_memory,27850,350000,210,405,210
27,1647039249033754715,38,idle512_coalescing_memory,27850,350000,210,405,210
28,1647039249041797115,38,idle512_coalescing_memory,27850,350000,210,405,210
29,1647039249049780425,38,idle512_coalescing_memory,27850,350000,210,405,210
30,1647039249057882856,38,idle512_coalescing_memory,27850,350000,210,405,210
31,1647039249065852165,38,idle512_coalescing_memory,27850,350000,210,405,210
32,1647039249073810895,38,idle512_coalescing_memory,27850,350000,210,405,210
33,1647039249081783470,38,idle512_coalescing_memory,27850,350000,210,405,210
34,1647039249089731522,38,idle512_coalescing_memory,27850,350000,210,405,210
35,1647039249097696780,39,idle512_coalescing_memory,27850,350000,210,405,210
36,1647039249105739438,39,idle512_coalescing_memory,27850,350000,210,405,210
37,1647039249113977696,39,idle512_coalescing_memory,28151,350000,210,405,210
38,1647039249122102912,39,idle512_coalescing_memory,28151,350000,210,405,210
39,1647039249130072487,39,idle512_coalescing_memory,28151,350000,210,405,210
40,1647039249138006959,39,idle512_coalescing_memory,28151,350000,210,405,210
41,1647039249153044704,38,idle512_coalescing_memory,28151,350000,210,405,210
42,1647039249161009686,38,idle512_coalescing_memory,28151,350000,210,405,210
43,1647039249169145576,38,idle512_coalescing_memory,28151,350000,210,405,210
44,1647039249177089444,38,idle512_coalescing_memory,28151,350000,210,405,210
45,1647039249185061233,38,idle512_coalescing_memory,28151,350000,210,405,210
46,1647039249193092590,38,idle512_coalescing_memory,28151,350000,210,405,210
47,1647039249201082049,38,idle512_coalescing_memory,28151,350000,210,405,210
