timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1642972271092475981,36, global-stride, 38324, 350000,1695,9501,1695
1, 1642972271095460294,36, global-stride, 38324, 350000,1695,9501,1695
2, 1642972271097867391,36, global-stride, 38324, 350000,1695,9501,1695
3, 1642972271100228941,36, global-stride, 38324, 350000,1695,9501,1695
4, 1642972271102757726,36, global-stride, 38324, 350000,1695,9501,1695
5, 1642972271107113566,36, global-stride, 38324, 350000,1695,9501,1695
6, 1642972271111298503,36, global-stride, 38324, 350000,1695,9501,1695
7, 1642972271113691093,36, global-stride, 38324, 350000,1695,9501,1695
8, 1642972271116053888,36, global-stride, 38324, 350000,1695,9501,1695
9, 1642972271118417651,36, global-stride, 38324, 350000,1695,9501,1695
10, 1642972271121049467,36, global-stride, 38324, 350000,1695,9501,1695
11, 1642972271123784776,36, global-stride, 43171, 350000,1695,9501,1695
12, 1642972271128119241,36, global-stride, 43171, 350000,1695,9501,1695
13, 1642972271132878945,36, global-stride, 43171, 350000,1695,9501,1695
14, 1642972271135307976,36, global-stride, 43171, 350000,1695,9501,1695
15, 1642972271137679169,36, global-stride, 43171, 350000,1695,9501,1695
16, 1642972271140504743,36, global-stride, 43171, 350000,1695,9501,1695
17, 1642972271142836441,36, global-stride, 43171, 350000,1695,9501,1695
18, 1642972271145190550,36, global-stride, 43171, 350000,1695,9501,1695
19, 1642972271149416322,36, global-stride, 43171, 350000,1695,9501,1695
20, 1642972271153585093,36, global-stride, 43171, 350000,1695,9501,1695
21, 1642972271156416487,36, global-stride, 43171, 350000,1695,9501,1695
22, 1642972271158784250,36, global-stride, 43171, 350000,1695,9501,1695
23, 1642972271161135613,36, global-stride, 43171, 350000,1695,9501,1695
24, 1642972271163498503,36, global-stride, 43171, 350000,1695,9501,1695
25, 1642972271165846842,36, global-stride, 43171, 350000,1695,9501,1695
26, 1642972271169322837,37, global-stride, 43171, 350000,1695,9501,1695
27, 1642972271173534542,37, global-stride, 43171, 350000,1695,9501,1695
28, 1642972271207995142,36, global-stride, 43171, 350000,1695,9501,1695
29, 1642972271211442007,36, global-stride, 43171, 350000,1695,9501,1695
30, 1642972271215682954,36, global-stride, 43171, 350000,1695,9501,1695
31, 1642972271219770447,36, global-stride, 43171, 350000,1695,9501,1695
32, 1642972271222102089,36, global-stride, 43171, 350000,1695,9501,1695
33, 1642972271224461988,36, global-stride, 43171, 350000,1695,9501,1695
34, 1642972271226993111,36, global-stride, 43171, 350000,1695,9501,1695
35, 1642972271229734135,37, global-stride, 43171, 350000,1695,9501,1695
36, 1642972271233528437,37, global-stride, 47347, 350000,1695,9501,1695
37, 1642972271238516453,37, global-stride, 47347, 350000,1695,9501,1695
38, 1642972271242457618,37, global-stride, 47347, 350000,1695,9501,1695
39, 1642972271244834256,37, global-stride, 47347, 350000,1695,9501,1695
40, 1642972271247189906,37, global-stride, 47347, 350000,1695,9501,1695
41, 1642972271249543514,37, global-stride, 47347, 350000,1695,9501,1695
42, 1642972271251904388,37, global-stride, 47347, 350000,1695,9501,1695
43, 1642972271256091609,37, global-stride, 47347, 350000,1695,9501,1695
44, 1642972271260361766,37, global-stride, 47347, 350000,1695,9501,1695
45, 1642972271263423208,37, global-stride, 47347, 350000,1695,9501,1695
46, 1642972271265782402,37, global-stride, 47347, 350000,1695,9501,1695
47, 1642972271268129864,37, global-stride, 47347, 350000,1695,9501,1695
48, 1642972271270480978,37, global-stride, 47347, 350000,1695,9501,1695
49, 1642972271272825955,37, global-stride, 47347, 350000,1695,9501,1695
50, 1642972271276588220,37, global-stride, 47347, 350000,1695,9501,1695
51, 1642972271281869079,37, global-stride, 47347, 350000,1695,9501,1695
52, 1642972271284264637,37, global-stride, 47347, 350000,1695,9501,1695
53, 1642972271286620849,37, global-stride, 47347, 350000,1695,9501,1695
54, 1642972271288930434,37, global-stride, 47347, 350000,1695,9501,1695
55, 1642972271294147239,37, global-stride, 47347, 350000,1695,9501,1695
56, 1642972271297731232,37, global-stride, 47347, 350000,1695,9501,1695
57, 1642972271301864040,37, global-stride, 47347, 350000,1695,9501,1695
58, 1642972271306035462,37, global-stride, 47347, 350000,1695,9501,1695
59, 1642972271308374243,37, global-stride, 47347, 350000,1695,9501,1695
60, 1642972271310697428,37, global-stride, 47347, 350000,1695,9501,1695
61, 1642972271313009005,37, global-stride, 47347, 350000,1695,9501,1695
62, 1642972271315333161,37, global-stride, 47347, 350000,1695,9501,1695
