timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643038202136018568,37, transpose, 41930, 350000,1695,9501,1695
1, 1643038202153255456,37, transpose, 41930, 350000,1695,9501,1695
2, 1643038202157470470,37, transpose, 41930, 350000,1695,9501,1695
3, 1643038202161718859,37, transpose, 41930, 350000,1695,9501,1695
4, 1643038202164550038,37, transpose, 41930, 350000,1695,9501,1695
5, 1643038202166915712,37, transpose, 41930, 350000,1695,9501,1695
6, 1643038202169272070,37, transpose, 41930, 350000,1695,9501,1695
7, 1643038202171941227,37, transpose, 41930, 350000,1695,9501,1695
8, 1643038202175203589,37, transpose, 47977, 350000,1695,9501,1695
9, 1643038202179326796,37, transpose, 47977, 350000,1695,9501,1695
10, 1643038202190262989,37, transpose, 47977, 350000,1695,9501,1695
11, 1643038202192618121,37, transpose, 47977, 350000,1695,9501,1695
12, 1643038202194952217,37, transpose, 47977, 350000,1695,9501,1695
13, 1643038202198306745,37, transpose, 47977, 350000,1695,9501,1695
14, 1643038202202539105,37, transpose, 47977, 350000,1695,9501,1695
15, 1643038202206693007,37, transpose, 47977, 350000,1695,9501,1695
16, 1643038202209035109,37, transpose, 47977, 350000,1695,9501,1695
17, 1643038202211376125,37, transpose, 47977, 350000,1695,9501,1695
18, 1643038202213714871,37, transpose, 47977, 350000,1695,9501,1695
19, 1643038202216061964,37, transpose, 47977, 350000,1695,9501,1695
20, 1643038202218973859,37, transpose, 47977, 350000,1695,9501,1695
21, 1643038202223157251,38, transpose, 47977, 350000,1695,9501,1695
22, 1643038202227096992,38, transpose, 47977, 350000,1695,9501,1695
23, 1643038202229533040,38, transpose, 47977, 350000,1695,9501,1695
24, 1643038202231970107,38, transpose, 47977, 350000,1695,9501,1695
25, 1643038202234307309,38, transpose, 47977, 350000,1695,9501,1695
26, 1643038202236640641,38, transpose, 47977, 350000,1695,9501,1695
27, 1643038202238979620,38, transpose, 47977, 350000,1695,9501,1695
28, 1643038202243219810,38, transpose, 47977, 350000,1695,9501,1695
29, 1643038202247585886,38, transpose, 47977, 350000,1695,9501,1695
30, 1643038202250433142,38, transpose, 47977, 350000,1695,9501,1695
31, 1643038202252782744,38, transpose, 47977, 350000,1695,9501,1695
32, 1643038202255138697,38, transpose, 47977, 350000,1695,9501,1695
33, 1643038202257477853,38, transpose, 47977, 350000,1695,9501,1695
34, 1643038202259820384,38, transpose, 47977, 350000,1695,9501,1695
35, 1643038202263762244,38, transpose, 47977, 350000,1695,9501,1695
36, 1643038202267962427,38, transpose, 47977, 350000,1695,9501,1695
37, 1643038202271246411,38, transpose, 47977, 350000,1695,9501,1695
38, 1643038202273583921,38, transpose, 47977, 350000,1695,9501,1695
39, 1643038202275918274,38, transpose, 47977, 350000,1695,9501,1695
40, 1643038202278405213,38, transpose, 47977, 350000,1695,9501,1695
41, 1643038202281221090,38, transpose, 53035, 350000,1695,9501,1695
42, 1643038202285057278,38, transpose, 53035, 350000,1695,9501,1695
43, 1643038202289538881,38, transpose, 53035, 350000,1695,9501,1695
44, 1643038202293251354,38, transpose, 53035, 350000,1695,9501,1695
45, 1643038202295580579,38, transpose, 53035, 350000,1695,9501,1695
46, 1643038202297917564,38, transpose, 53035, 350000,1695,9501,1695
47, 1643038202300246331,38, transpose, 53035, 350000,1695,9501,1695
48, 1643038202302588265,38, transpose, 53035, 350000,1695,9501,1695
49, 1643038202306246126,38, transpose, 53035, 350000,1695,9501,1695
50, 1643038202310451171,38, transpose, 53035, 350000,1695,9501,1695
51, 1643038202313740562,38, transpose, 53035, 350000,1695,9501,1695
52, 1643038202316110860,38, transpose, 53035, 350000,1695,9501,1695
53, 1643038202318453677,38, transpose, 53035, 350000,1695,9501,1695
54, 1643038202320794486,38, transpose, 53035, 350000,1695,9501,1695
55, 1643038202323140199,38, transpose, 53035, 350000,1695,9501,1695
56, 1643038202326024076,38, transpose, 53035, 350000,1695,9501,1695
57, 1643038202330312210,38, transpose, 53035, 350000,1695,9501,1695
58, 1643038202334277762,38, transpose, 53035, 350000,1695,9501,1695
59, 1643038202337213141,38, transpose, 53035, 350000,1695,9501,1695
60, 1643038202339581631,38, transpose, 53035, 350000,1695,9501,1695
61, 1643038202342102849,38, transpose, 53035, 350000,1695,9501,1695
62, 1643038202344432448,38, transpose, 53035, 350000,1695,9501,1695
63, 1643038202347215148,38, transpose, 53035, 350000,1695,9501,1695
64, 1643038202351533871,38, transpose, 53035, 350000,1695,9501,1695
65, 1643038202355851793,38, transpose, 53035, 350000,1695,9501,1695
66, 1643038202358195586,38, transpose, 53035, 350000,1695,9501,1695
67, 1643038202360553880,38, transpose, 53035, 350000,1695,9501,1695
68, 1643038202362905822,38, transpose, 53035, 350000,1695,9501,1695
69, 1643038202365248271,38, transpose, 53035, 350000,1695,9501,1695
70, 1643038202367605825,38, transpose, 53035, 350000,1695,9501,1695
71, 1643038202371858202,38, transpose, 53035, 350000,1695,9501,1695
72, 1643038202376100731,38, transpose, 53035, 350000,1695,9501,1695
73, 1643038202379161955,38, transpose, 53035, 350000,1695,9501,1695
74, 1643038202381512703,38, transpose, 53035, 350000,1695,9501,1695
75, 1643038202383838066,38, transpose, 53035, 350000,1695,9501,1695
76, 1643038202386423117,38, transpose, 53035, 350000,1695,9501,1695
