timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643742714147576450,36, transpose, 37868, 350000,1695,9501,1695
1, 1643742714152510635,36, transpose, 43335, 350000,1695,9501,1695
2, 1643742714165344416,37, transpose, 43335, 350000,1695,9501,1695
3, 1643742714168183481,37, transpose, 43335, 350000,1695,9501,1695
4, 1643742714170997602,37, transpose, 43335, 350000,1695,9501,1695
5, 1643742714175981495,37, transpose, 43335, 350000,1695,9501,1695
6, 1643742714181704107,37, transpose, 43335, 350000,1695,9501,1695
7, 1643742714184613905,37, transpose, 43335, 350000,1695,9501,1695
8, 1643742714187428318,37, transpose, 43335, 350000,1695,9501,1695
9, 1643742714190237257,37, transpose, 43335, 350000,1695,9501,1695
10, 1643742714193254283,37, transpose, 43335, 350000,1695,9501,1695
11, 1643742714198057185,37, transpose, 43335, 350000,1695,9501,1695
12, 1643742714202424677,37, transpose, 43335, 350000,1695,9501,1695
13, 1643742714205358295,37, transpose, 43335, 350000,1695,9501,1695
14, 1643742714208178182,37, transpose, 43335, 350000,1695,9501,1695
15, 1643742714211202147,37, transpose, 43335, 350000,1695,9501,1695
16, 1643742714214010631,37, transpose, 43335, 350000,1695,9501,1695
17, 1643742714219006074,38, transpose, 43335, 350000,1695,9501,1695
18, 1643742714224063371,38, transpose, 43335, 350000,1695,9501,1695
19, 1643742714226995284,38, transpose, 43335, 350000,1695,9501,1695
20, 1643742714229810938,38, transpose, 43335, 350000,1695,9501,1695
21, 1643742714232618533,38, transpose, 43335, 350000,1695,9501,1695
22, 1643742714235441697,38, transpose, 43335, 350000,1695,9501,1695
23, 1643742714240140387,38, transpose, 43335, 350000,1695,9501,1695
24, 1643742714245010507,38, transpose, 43335, 350000,1695,9501,1695
25, 1643742714247919798,38, transpose, 43335, 350000,1695,9501,1695
26, 1643742714250734593,38, transpose, 43335, 350000,1695,9501,1695
27, 1643742714253546895,38, transpose, 43335, 350000,1695,9501,1695
28, 1643742714293681796,38, transpose, 54941, 350000,1695,9501,1695
