timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1642986268732870116,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
1, 1642986268736084698,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
2, 1642986268738662706,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
3, 1642986268741189041,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
4, 1642986268743694861,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
5, 1642986268746265918,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
6, 1642986268750236840,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
7, 1642986268754661459,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
8, 1642986268757581305,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
9, 1642986268760107400,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
10, 1642986268762631432,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
11, 1642986268765400138,36, simpleCUBLAS_LU, 46053, 350000,1695,9501,1695
12, 1642986268768597579,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
13, 1642986268773089437,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
14, 1642986268780622100,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
15, 1642986268783157211,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
16, 1642986268785694437,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
17, 1642986268788218797,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
18, 1642986268791268144,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
19, 1642986268795681201,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
20, 1642986268799573195,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
21, 1642986268802114035,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
22, 1642986268804633389,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
23, 1642986268807163115,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
24, 1642986268809741977,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
25, 1642986268813326127,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
26, 1642986268817744141,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
27, 1642986268851985397,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
28, 1642986268855511935,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
29, 1642986268859906024,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
30, 1642986268863387910,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
31, 1642986268865930344,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
32, 1642986268868722213,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
33, 1642986268871391883,36, simpleCUBLAS_LU, 53907, 350000,1695,9501,1695
34, 1642986268874144323,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
35, 1642986268878244622,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
36, 1642986268882706645,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
37, 1642986268886054900,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
38, 1642986268888517375,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
39, 1642986268890966079,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
40, 1642986268893401253,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
41, 1642986268895837208,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
42, 1642986268899937882,36, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
43, 1642986268904270672,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
44, 1642986268907497452,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
45, 1642986268909934251,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
46, 1642986268912395621,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
47, 1642986268914827860,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
48, 1642986268917264605,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
49, 1642986268921061194,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
50, 1642986268927038074,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
51, 1642986268929638449,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
52, 1642986268932174235,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
53, 1642986268934632519,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
54, 1642986268937082090,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
55, 1642986268939530092,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
56, 1642986268943804949,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
57, 1642986268948212539,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
58, 1642986268950742950,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
59, 1642986268953195643,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
60, 1642986268955613313,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
61, 1642986268958033173,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
62, 1642986268960442252,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
63, 1642986268964441857,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
64, 1642986268968793027,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
65, 1642986268971941236,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
66, 1642986268974391734,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
67, 1642986268976841173,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
68, 1642986268979570377,37, simpleCUBLAS_LU, 62107, 350000,1695,9501,1695
69, 1642986268982766059,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
70, 1642986268987235578,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
71, 1642986268997529525,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
72, 1642986268999984643,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
73, 1642986269002404049,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
74, 1642986269005347468,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
75, 1642986269009613726,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
76, 1642986269013639250,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
77, 1642986269016072368,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
78, 1642986269018517454,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
79, 1642986269020948805,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
80, 1642986269023401674,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
81, 1642986269025922271,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
82, 1642986269030262393,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
83, 1642986269034749951,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
84, 1642986269037263068,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
85, 1642986269039704963,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
86, 1642986269042148157,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
87, 1642986269044571707,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
88, 1642986269047067433,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
89, 1642986269051426324,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
90, 1642986269056030321,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
91, 1642986269058542506,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
92, 1642986269060971119,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
93, 1642986269063396477,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
94, 1642986269065696844,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
95, 1642986269068132383,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
96, 1642986269072336197,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
97, 1642986269076769996,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
98, 1642986269079435883,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
99, 1642986269081851997,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
100, 1642986269084284813,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
101, 1642986269087000180,37, simpleCUBLAS_LU, 70365, 350000,1695,9501,1695
102, 1642986269089823530,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
103, 1642986269094185173,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
104, 1642986269098813585,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
105, 1642986269101309350,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
106, 1642986269103744480,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
107, 1642986269106208389,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
108, 1642986269108630347,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
109, 1642986269111048825,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
110, 1642986269115343523,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
111, 1642986269119667788,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
112, 1642986269122173151,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
113, 1642986269124628706,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
114, 1642986269127052703,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
115, 1642986269129976157,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
116, 1642986269132420397,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
117, 1642986269136676962,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
118, 1642986269141451438,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
119, 1642986269144004952,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
120, 1642986269146550331,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
121, 1642986269148974471,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
122, 1642986269151584559,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
123, 1642986269154021920,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
124, 1642986269158224169,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
125, 1642986269162693504,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
126, 1642986269165294606,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
127, 1642986269167746461,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
128, 1642986269170190279,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
129, 1642986269172644347,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
130, 1642986269175097699,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
131, 1642986269179178501,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
132, 1642986269183458018,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
133, 1642986269186697181,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
134, 1642986269189147019,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
135, 1642986269191598174,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
136, 1642986269194281974,37, simpleCUBLAS_LU, 78632, 350000,1695,9501,1695
137, 1642986269197570156,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
138, 1642986269202070596,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
139, 1642986269207314368,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
140, 1642986269209828938,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
141, 1642986269212261373,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
142, 1642986269214692626,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
143, 1642986269217110800,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
144, 1642986269220629518,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
145, 1642986269224946062,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
146, 1642986269228676293,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
147, 1642986269231112358,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
148, 1642986269233561127,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
149, 1642986269236010629,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
150, 1642986269238466345,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
151, 1642986269241549240,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
152, 1642986269245906048,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
153, 1642986269249702192,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
154, 1642986269252220408,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
155, 1642986269254654027,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
156, 1642986269257343599,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
157, 1642986269259818719,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
158, 1642986269262842119,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
159, 1642986269267274080,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
160, 1642986269271341202,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
161, 1642986269273831891,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
162, 1642986269276286811,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
163, 1642986269278735239,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
164, 1642986269281178401,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
165, 1642986269284034965,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
166, 1642986269288298465,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
167, 1642986269292568184,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
168, 1642986269295030985,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
169, 1642986269297469662,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
170, 1642986269299913517,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
171, 1642986269302520567,37, simpleCUBLAS_LU, 86954, 350000,1695,9501,1695
172, 1642986269305638909,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
173, 1642986269309924850,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
174, 1642986269314384040,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
175, 1642986269316762448,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
176, 1642986269319206540,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
177, 1642986269321646989,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
178, 1642986269324084711,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
179, 1642986269327069449,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
180, 1642986269331289848,37, simpleCUBLAS_LU, 89342, 350000,1695,9501,1695
