timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643906554250514526,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
1, 1643906554253446692,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
2, 1643906554257083818,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
3, 1643906554261386781,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
4, 1643906554264945149,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
5, 1643906554267296321,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
6, 1643906554269648719,37, 1 blocks 256 threads, 41774, 350000,1695,9501,1695
7, 1643906554309911644,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
8, 1643906554313988922,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
9, 1643906554316321389,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
10, 1643906554319217256,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
11, 1643906554323510189,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
12, 1643906554327564047,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
13, 1643906554329999576,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
14, 1643906554332335783,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
15, 1643906554334678306,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
16, 1643906554339600166,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
17, 1643906554343789390,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
18, 1643906554348172119,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
19, 1643906554350924767,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
20, 1643906554353250011,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
21, 1643906554355593191,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
22, 1643906554357915534,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
23, 1643906554360239490,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
24, 1643906554363805957,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
25, 1643906554368110064,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
26, 1643906554371937018,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
27, 1643906554374272222,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
28, 1643906554376613301,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
29, 1643906554379250248,37, 1 blocks 256 threads, 45962, 350000,1695,9501,1695
30, 1643906554381975020,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
31, 1643906554386164941,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
32, 1643906554390716243,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
33, 1643906554393886686,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
34, 1643906554396195664,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
35, 1643906554398521784,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
36, 1643906554400843394,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
37, 1643906554403176512,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
38, 1643906554407240716,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
39, 1643906554411445488,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
40, 1643906554415198056,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
41, 1643906554417552023,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
42, 1643906554419881576,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
43, 1643906554422223642,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
44, 1643906554424566154,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
45, 1643906554428314081,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
46, 1643906554433674144,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
47, 1643906554436076549,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
48, 1643906554438499497,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
49, 1643906554440835215,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
50, 1643906554443426306,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
51, 1643906554445778192,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
52, 1643906554449336389,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
53, 1643906554453610227,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
54, 1643906554457291022,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
55, 1643906554459630351,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
56, 1643906554461952259,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
57, 1643906554464290810,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
58, 1643906554466625985,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
59, 1643906554470056723,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
60, 1643906554474228506,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
61, 1643906554478323316,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
62, 1643906554480686236,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
63, 1643906554483037166,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
64, 1643906554485388648,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
65, 1643906554488038975,37, 1 blocks 256 threads, 50023, 350000,1695,9501,1695
66, 1643906554491176899,37, 1 blocks 256 threads, 53684, 350000,1695,9501,1695
67, 1643906554496078628,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
68, 1643906554505476007,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
69, 1643906554507821464,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
70, 1643906554510143095,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
71, 1643906554513622253,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
72, 1643906554517731062,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
73, 1643906554521672419,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
74, 1643906554524000213,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
75, 1643906554526313207,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
76, 1643906554528645552,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
77, 1643906554530959499,37, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
78, 1643906554533872308,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
79, 1643906554538226852,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
80, 1643906554542173941,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
81, 1643906554544598954,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
82, 1643906554546902555,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
83, 1643906554549209593,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
84, 1643906554554072468,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
85, 1643906554558325754,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
86, 1643906554562671291,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
87, 1643906554565656257,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
88, 1643906554567971979,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
89, 1643906554570277225,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
90, 1643906554572584182,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
91, 1643906554574907978,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
92, 1643906554578588146,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
93, 1643906554582777754,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
94, 1643906554586057183,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
95, 1643906554588369175,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
96, 1643906554590685161,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
97, 1643906554593167907,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
98, 1643906554595653886,38, 1 blocks 256 threads, 53684, 350000,1980,9501,1980
99, 1643906554598907794,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
100, 1643906554603320339,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
101, 1643906554607599078,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
102, 1643906554609939094,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
103, 1643906554612261081,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
104, 1643906554614589227,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
105, 1643906554616905499,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
106, 1643906554619940088,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
107, 1643906554624149404,38, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
108, 1643906554628473347,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
109, 1643906554630848380,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
110, 1643906554633173000,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
111, 1643906554635507554,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
112, 1643906554637846841,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
113, 1643906554640521690,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
114, 1643906554644833469,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
115, 1643906554648986019,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
116, 1643906554651448330,39, 1 blocks 256 threads, 58496, 350000,1980,9501,1980
