timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643742998728695924,37, wordcount, 42813, 350000,1695,9501,1695
1, 1643742998733637597,37, wordcount, 42813, 350000,1695,9501,1695
2, 1643742998738373301,37, wordcount, 42813, 350000,1695,9501,1695
3, 1643742998740829695,37, wordcount, 42813, 350000,1695,9501,1695
4, 1643742998743283472,37, wordcount, 42813, 350000,1695,9501,1695
5, 1643742998745631088,37, wordcount, 42813, 350000,1695,9501,1695
6, 1643742998748042118,37, wordcount, 42813, 350000,1695,9501,1695
7, 1643742998750383633,37, wordcount, 42813, 350000,1695,9501,1695
8, 1643742998754720807,37, wordcount, 42813, 350000,1695,9501,1695
9, 1643742998759184300,37, wordcount, 42813, 350000,1695,9501,1695
10, 1643742998762804540,37, wordcount, 42813, 350000,1695,9501,1695
11, 1643742998765129696,37, wordcount, 42813, 350000,1695,9501,1695
12, 1643742998767452603,37, wordcount, 42813, 350000,1695,9501,1695
13, 1643742998769778744,38, wordcount, 42813, 350000,1695,9501,1695
14, 1643742998772176643,38, wordcount, 42813, 350000,1695,9501,1695
15, 1643742998776498535,38, wordcount, 42813, 350000,1695,9501,1695
16, 1643742998780696138,38, wordcount, 42813, 350000,1695,9501,1695
17, 1643742998783466813,38, wordcount, 42813, 350000,1695,9501,1695
18, 1643742998785805299,38, wordcount, 42813, 350000,1695,9501,1695
19, 1643742998788154696,38, wordcount, 42813, 350000,1695,9501,1695
20, 1643742998790779426,38, wordcount, 42813, 350000,1695,9501,1695
21, 1643742998793540472,38, wordcount, 46986, 350000,1695,9501,1695
22, 1643742998797686949,38, wordcount, 46986, 350000,1695,9501,1695
23, 1643742998802277827,38, wordcount, 46986, 350000,1695,9501,1695
24, 1643742998805099260,38, wordcount, 46986, 350000,1695,9501,1695
25, 1643742998807416407,38, wordcount, 46986, 350000,1695,9501,1695
26, 1643742998809945610,38, wordcount, 46986, 350000,1695,9501,1695
27, 1643742998812254500,38, wordcount, 46986, 350000,1695,9501,1695
28, 1643742998814578423,38, wordcount, 46986, 350000,1695,9501,1695
29, 1643742998818735131,38, wordcount, 46986, 350000,1695,9501,1695
30, 1643742998822859735,38, wordcount, 46986, 350000,1695,9501,1695
31, 1643742998826070363,38, wordcount, 46986, 350000,1695,9501,1695
32, 1643742998828398042,38, wordcount, 46986, 350000,1695,9501,1695
33, 1643742998830726632,38, wordcount, 46986, 350000,1695,9501,1695
34, 1643742998833047339,38, wordcount, 46986, 350000,1695,9501,1695
35, 1643742998835359793,38, wordcount, 46986, 350000,1695,9501,1695
36, 1643742998838544003,38, wordcount, 46986, 350000,1695,9501,1695
37, 1643742998842646253,38, wordcount, 46986, 350000,1695,9501,1695
38, 1643742998846328651,38, wordcount, 46986, 350000,1695,9501,1695
39, 1643742998848832281,38, wordcount, 46986, 350000,1695,9501,1695
40, 1643742998851178928,38, wordcount, 46986, 350000,1695,9501,1695
41, 1643742998854094038,38, wordcount, 46986, 350000,1695,9501,1695
42, 1643742998858349306,38, wordcount, 46986, 350000,1695,9501,1695
43, 1643742998862523135,38, wordcount, 46986, 350000,1695,9501,1695
44, 1643742998866898615,38, wordcount, 46986, 350000,1695,9501,1695
45, 1643742998869488514,38, wordcount, 46986, 350000,1695,9501,1695
46, 1643742998871924905,38, wordcount, 46986, 350000,1695,9501,1695
47, 1643742998874279548,38, wordcount, 46986, 350000,1695,9501,1695
48, 1643742998876716794,38, wordcount, 46986, 350000,1695,9501,1695
49, 1643742998879020782,38, wordcount, 46986, 350000,1695,9501,1695
