timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647036687146668671,33,idle32_wordcount_memory,23064,350000,210,405,210
1,1647036687156047973,33,idle32_wordcount_memory,23064,350000,210,405,210
2,1647036687172217533,33,idle32_wordcount_memory,23064,350000,210,405,210
3,1647036687180896977,33,idle32_wordcount_memory,23064,350000,210,405,210
4,1647036687189767472,33,idle32_wordcount_memory,23064,350000,210,405,210
5,1647036687198391248,33,idle32_wordcount_memory,23064,350000,210,405,210
6,1647036687207142680,33,idle32_wordcount_memory,23064,350000,210,405,210
7,1647036687215782053,33,idle32_wordcount_memory,23064,350000,210,405,210
8,1647036687224455931,33,idle32_wordcount_memory,23064,350000,210,405,210
9,1647036687233101027,33,idle32_wordcount_memory,23064,350000,210,405,210
10,1647036687242110254,33,idle32_wordcount_memory,23472,350000,210,405,210
11,1647036687250732920,33,idle32_wordcount_memory,23472,350000,210,405,210
12,1647036687259334669,33,idle32_wordcount_memory,23472,350000,210,405,210
13,1647036687267950336,33,idle32_wordcount_memory,23472,350000,210,405,210
14,1647036687281514767,33,idle32_wordcount_memory,23472,350000,210,405,210
15,1647036687290129522,33,idle32_wordcount_memory,23472,350000,210,405,210
16,1647036687298897455,33,idle32_wordcount_memory,23472,350000,210,405,210
17,1647036687307518531,33,idle32_wordcount_memory,23472,350000,210,405,210
18,1647036687316170431,33,idle32_wordcount_memory,23472,350000,210,405,210
19,1647036687324801884,33,idle32_wordcount_memory,23472,350000,210,405,210
20,1647036687333391579,33,idle32_wordcount_memory,23472,350000,210,405,210
21,1647036687342027712,33,idle32_wordcount_memory,23472,350000,210,405,210
22,1647036687351219927,33,idle32_wordcount_memory,23819,350000,210,405,210
23,1647036687360287599,33,idle32_wordcount_memory,23819,350000,210,405,210
24,1647036687368914700,33,idle32_wordcount_memory,23819,350000,210,405,210
25,1647036687377578467,33,idle32_wordcount_memory,23819,350000,210,405,210
26,1647036687390340704,33,idle32_wordcount_memory,23819,350000,210,405,210
27,1647036687399007570,33,idle32_wordcount_memory,23819,350000,210,405,210
28,1647036687407734522,33,idle32_wordcount_memory,23819,350000,210,405,210
29,1647036687416385578,33,idle32_wordcount_memory,23819,350000,210,405,210
30,1647036687425042239,33,idle32_wordcount_memory,23819,350000,210,405,210
